Project_ID,Asset_ID,Asset_Type,Current_Lifecycle_Status,Refresh_Year,Planned_Refresh_Date,Actual_Refresh_Date,Budget_Estimate_CAD,Project_Status,Constraint_or_Blocker
PRJ-000595,AST-0004701,Laptop,EOL within 24 months,2027,2027-03-26,,1754.41,In Progress,Vendor Lead Time
PRJ-000596,AST-0003102,Laptop,EOL within 12 months,2026,2026-12-02,,1835.15,Planning,Budget Approval
PRJ-000597,AST-0013828,Laptop,EOL within 12 months,2026,2026-07-22,,2106.84,In Progress,Security Exception
PRJ-000598,AST-0006555,Laptop,Past EOL,2026,2026-12-02,,1572.38,In Progress,Change Freeze
PRJ-000599,AST-0005531,Laptop,EOL within 24 months,2026,2026-08-24,,2020.22,Not Started,Vendor Lead Time
PRJ-000600,AST-0008454,Laptop,EOL within 12 months,2026,2026-07-25,,1880.18,In Progress,Branch Scheduling
PRJ-000601,AST-0004531,Laptop,Past EOL,2026,2026-09-12,,1352.76,Not Started,Budget Approval
PRJ-000602,AST-0019817,VDI Endpoint,EOL within 12 months,2027,2027-11-06,,1348.48,Planning,Application Dependency
PRJ-000603,AST-0017827,Desktop,EOL within 12 months,2026,2026-08-10,2026-09-09,1174.82,Completed,Budget Approval
PRJ-000604,AST-0004132,Laptop,EOL within 12 months,2026,2026-12-26,,2181.56,Blocked,Change Freeze
PRJ-000605,AST-0006999,Laptop,Past EOL,2027,2027-08-08,2027-10-06,1518.03,Completed,Security Exception
PRJ-000606,AST-0002491,Laptop,EOL within 24 months,2026,2026-11-14,,3588.58,In Progress,Application Dependency
PRJ-000607,AST-0012427,Laptop,EOL within 12 months,2027,2027-09-17,,1500.76,Not Started,Budget Approval
PRJ-000608,AST-0019504,VDI Endpoint,EOL within 12 months,2027,2027-02-18,2027-02-02,1047.6,Completed,Branch Scheduling
PRJ-000609,AST-0005356,Laptop,EOL within 24 months,2027,2027-07-06,,3422.2,In Progress,Budget Approval
PRJ-000610,AST-0009786,Laptop,EOL within 12 months,2027,2027-04-24,,1551.3,Planning,Branch Scheduling
PRJ-000611,AST-0015908,Desktop,EOL within 24 months,2026,2026-08-16,,956.38,In Progress,Budget Approval
PRJ-000612,AST-0010618,Laptop,EOL within 24 months,2028,2028-12-20,,1631.45,In Progress,Budget Approval
PRJ-000613,AST-0006850,Laptop,Past EOL,2028,2028-06-18,,1504.54,Deferred,Vendor Lead Time
PRJ-000614,AST-0019916,VDI Endpoint,EOL within 12 months,2028,2028-07-03,,1243.38,Planning,Application Dependency
PRJ-000615,AST-0023923,Storage,EOL within 24 months,2028,2028-12-23,,93856.98,Deferred,Security Exception
PRJ-000616,AST-0007430,Laptop,EOL within 12 months,2027,2027-03-21,2027-05-18,1721.71,Completed,Branch Scheduling
PRJ-000617,AST-0001243,Laptop,EOL within 12 months,2028,2028-03-21,2028-04-10,1960.16,Completed,Vendor Lead Time
PRJ-000618,AST-0003367,Laptop,EOL within 12 months,2028,2028-01-01,,1900.63,Planning,Branch Scheduling
PRJ-000619,AST-0013932,Laptop,EOL within 12 months,2027,2027-01-09,2027-01-23,1525.83,Completed,Vendor Lead Time
PRJ-000620,AST-0010886,Laptop,EOL within 24 months,2028,2028-05-10,,1944.3,In Progress,Branch Scheduling
PRJ-000621,AST-0006425,Laptop,EOL within 24 months,2028,2028-01-25,,3846.84,Planning,None
PRJ-000622,AST-0003835,Laptop,EOL within 24 months,2027,2027-04-17,,3241.44,In Progress,None
PRJ-000623,AST-0018795,VDI Endpoint,EOL within 12 months,2027,2027-12-23,,1359.75,In Progress,Vendor Lead Time
PRJ-000624,AST-0012007,Laptop,EOL within 12 months,2026,2026-09-07,,1862.84,Planning,Budget Approval
PRJ-000625,AST-0023810,Wireless Access Point,EOL within 24 months,2028,2028-01-14,,1209.29,Planning,Security Exception
PRJ-000626,AST-0008467,Laptop,EOL within 24 months,2027,2027-03-11,,2715.51,Not Started,None
PRJ-000627,AST-0010338,Laptop,EOL within 24 months,2027,2027-09-05,,1799.12,In Progress,Branch Scheduling
PRJ-000628,AST-0010111,Laptop,EOL within 12 months,2027,2027-08-15,2027-08-07,1814.3,Completed,Vendor Lead Time
PRJ-000629,AST-0002946,Laptop,EOL within 24 months,2028,2028-11-14,,1702.02,In Progress,Branch Scheduling
PRJ-000630,AST-0000611,Laptop,EOL within 12 months,2028,2028-07-07,,1537.62,Deferred,Application Dependency
PRJ-000631,AST-0003811,Laptop,EOL within 24 months,2026,2026-07-11,,1891.62,Deferred,None
PRJ-000632,AST-0011151,Laptop,EOL within 12 months,2028,2028-02-17,,2104.15,Planning,Security Exception
PRJ-000633,AST-0013915,Laptop,EOL within 24 months,2027,2027-01-12,,1888.37,In Progress,None
PRJ-000634,AST-0001121,Laptop,EOL within 24 months,2028,2028-01-30,,3467.58,Planning,Change Freeze
PRJ-000635,AST-0011939,Laptop,EOL within 24 months,2028,2028-09-11,,2051.47,Planning,Application Dependency
PRJ-000636,AST-0020507,Server,EOL within 24 months,2028,2028-01-31,,12379.6,Planning,Vendor Lead Time
PRJ-000637,AST-0019143,VDI Endpoint,EOL within 12 months,2026,2026-09-22,,1315.14,Deferred,Vendor Lead Time
PRJ-000638,AST-0004336,Laptop,EOL within 12 months,2027,2027-09-28,,1934.57,In Progress,Change Freeze
PRJ-000639,AST-0017477,Desktop,EOL within 24 months,2027,2027-03-17,,910.69,Planning,Application Dependency
PRJ-000640,AST-0021595,Access Switch,EOL within 24 months,2028,2028-04-16,,7105.06,In Progress,None
PRJ-000641,AST-0019471,VDI Endpoint,EOL within 12 months,2026,2026-06-20,,1049.83,Blocked,None
PRJ-000642,AST-0007603,Laptop,EOL within 24 months,2027,2027-03-15,,3548.74,Not Started,Vendor Lead Time
PRJ-000643,AST-0003645,Laptop,EOL within 24 months,2027,2027-04-16,2027-06-28,3025.74,Completed,None
PRJ-000644,AST-0008389,Laptop,EOL within 12 months,2027,2027-11-28,,1696.02,Planning,Budget Approval
PRJ-000645,AST-0019567,VDI Endpoint,EOL within 12 months,2028,2028-10-19,,1439.36,Planning,Branch Scheduling
PRJ-000646,AST-0008321,Laptop,Past EOL,2027,2027-11-09,,1576.42,Not Started,Vendor Lead Time
PRJ-000647,AST-0004837,Laptop,Past EOL,2026,2026-07-01,,1428.41,In Progress,Branch Scheduling
PRJ-000648,AST-0001483,Laptop,Past EOL,2027,2027-09-21,,1803.54,Not Started,Budget Approval
PRJ-000649,AST-0007556,Laptop,Past EOL,2027,2027-03-08,,1867.0,In Progress,None
PRJ-000650,AST-0015306,Desktop,EOL within 12 months,2027,2027-07-18,,1157.85,Planning,Change Freeze
PRJ-000651,AST-0011210,Laptop,EOL within 12 months,2026,2026-09-02,,2021.96,Planning,Change Freeze
PRJ-000652,AST-0002935,Laptop,EOL within 12 months,2026,2026-08-11,,1558.17,In Progress,Branch Scheduling
PRJ-000653,AST-0022304,Access Switch,EOL within 24 months,2027,2027-04-04,,8598.45,Blocked,None
PRJ-000654,AST-0013422,Laptop,Past EOL,2027,2027-08-14,,2008.77,Planning,Change Freeze
PRJ-000655,AST-0010771,Laptop,EOL within 12 months,2026,2026-10-22,,1948.63,Deferred,Vendor Lead Time
PRJ-000656,AST-0017509,Desktop,EOL within 12 months,2027,2027-12-13,2028-02-19,1166.79,Completed,Security Exception
PRJ-000657,AST-0021512,Access Switch,EOL within 24 months,2027,2027-02-22,,7718.11,Blocked,Security Exception
PRJ-000658,AST-0010063,Laptop,EOL within 12 months,2026,2026-12-05,2027-02-20,1973.31,Completed,Branch Scheduling
PRJ-000659,AST-0000743,Laptop,Past EOL,2028,2028-12-20,,1705.41,Planning,Branch Scheduling
PRJ-000660,AST-0013924,Laptop,Past EOL,2026,2026-07-12,,1404.95,In Progress,Application Dependency
PRJ-000661,AST-0012480,Laptop,EOL within 12 months,2028,2028-09-04,,1988.43,Not Started,Change Freeze
PRJ-000662,AST-0011848,Laptop,EOL within 24 months,2027,2027-01-15,,2121.38,Deferred,Change Freeze
PRJ-000663,AST-0013116,Laptop,EOL within 12 months,2028,2028-11-21,,1454.11,Planning,None
PRJ-000664,AST-0019309,VDI Endpoint,EOL within 24 months,2028,2028-04-28,,926.14,Not Started,Budget Approval
PRJ-000665,AST-0021567,Access Switch,EOL within 24 months,2026,2026-07-25,,6238.63,Not Started,None
PRJ-000666,AST-0010934,Laptop,Past EOL,2026,2026-06-16,2026-08-22,1641.35,Completed,Application Dependency
PRJ-000667,AST-0021456,Server,EOL within 24 months,2028,2028-10-31,,11714.12,Not Started,Vendor Lead Time
PRJ-000668,AST-0015205,Desktop,EOL within 24 months,2028,2028-10-09,,1263.41,In Progress,Application Dependency
PRJ-000669,AST-0012411,Laptop,Past EOL,2028,2028-12-21,,1631.14,Not Started,Budget Approval
PRJ-000670,AST-0007869,Laptop,EOL within 24 months,2027,2027-03-22,,2201.87,Deferred,Branch Scheduling
PRJ-000671,AST-0011460,Laptop,EOL within 24 months,2027,2027-06-19,,1911.96,Planning,Branch Scheduling
PRJ-000672,AST-0016824,Desktop,EOL within 24 months,2028,2028-08-16,,1046.8,In Progress,Change Freeze
PRJ-000673,AST-0008858,Laptop,EOL within 24 months,2028,2028-06-06,,2111.42,Not Started,Change Freeze
PRJ-000674,AST-0012380,Laptop,EOL within 24 months,2026,2026-09-28,,1908.15,Planning,Application Dependency
PRJ-000675,AST-0013448,Laptop,EOL within 24 months,2027,2027-08-30,,1678.62,Planning,Vendor Lead Time
PRJ-000676,AST-0018036,Desktop,EOL within 12 months,2027,2027-08-04,,1220.93,Not Started,None
PRJ-000677,AST-0006606,Laptop,Past EOL,2027,2027-05-20,,1939.43,In Progress,Security Exception
PRJ-000678,AST-0007749,Laptop,Past EOL,2027,2027-08-04,,1447.67,Planning,None
PRJ-000679,AST-0016823,Desktop,EOL within 24 months,2027,2027-06-12,,939.76,Not Started,Vendor Lead Time
PRJ-000680,AST-0014718,Desktop,EOL within 24 months,2026,2026-10-04,,929.86,Blocked,Branch Scheduling
PRJ-000681,AST-0013532,Laptop,Past EOL,2028,2028-01-05,,1940.89,Planning,Branch Scheduling
PRJ-000682,AST-0004513,Laptop,EOL within 12 months,2028,2028-05-08,2028-06-01,2101.23,Completed,Branch Scheduling
PRJ-000683,AST-0017680,Desktop,EOL within 12 months,2027,2027-11-22,,1121.63,Deferred,Branch Scheduling
PRJ-000684,AST-0010453,Laptop,Past EOL,2027,2027-03-27,2027-06-24,1937.73,Completed,Change Freeze
PRJ-000685,AST-0012393,Laptop,Past EOL,2027,2027-10-20,,1324.99,Not Started,Application Dependency
PRJ-000686,AST-0002993,Laptop,Past EOL,2028,2028-07-24,,1638.01,Not Started,Budget Approval
PRJ-000687,AST-0007479,Laptop,EOL within 24 months,2027,2027-07-19,2027-08-26,1866.73,Completed,None
PRJ-000688,AST-0014640,Desktop,EOL within 12 months,2028,2028-01-10,,1146.44,Not Started,Vendor Lead Time
PRJ-000689,AST-0022279,Access Switch,EOL within 24 months,2026,2026-11-14,,7654.24,Not Started,Vendor Lead Time
PRJ-000690,AST-0004105,Laptop,Past EOL,2028,2028-07-26,,1507.87,In Progress,None
PRJ-000691,AST-0006737,Laptop,Past EOL,2027,2027-07-28,,1844.97,Not Started,Security Exception
PRJ-000692,AST-0017537,Desktop,EOL within 24 months,2027,2027-07-02,,973.42,Not Started,Branch Scheduling
PRJ-000693,AST-0013005,Laptop,Past EOL,2026,2026-08-04,,1832.55,Blocked,Change Freeze
PRJ-000694,AST-0008027,Laptop,Past EOL,2026,2026-10-11,2026-12-09,1631.88,Completed,Vendor Lead Time
PRJ-000695,AST-0003311,Laptop,EOL within 24 months,2027,2027-07-02,,1934.73,Planning,Budget Approval
PRJ-000696,AST-0023393,Wireless Access Point,EOL within 12 months,2027,2027-04-07,,721.62,Planning,None
PRJ-000697,AST-0012681,Laptop,EOL within 12 months,2028,2028-10-09,,2121.93,Planning,Security Exception
PRJ-000698,AST-0023208,Wireless Access Point,EOL within 24 months,2027,2027-06-28,,1362.17,Planning,None
PRJ-000699,AST-0011392,Laptop,Past EOL,2028,2028-03-14,2028-03-05,1538.8,Completed,Vendor Lead Time
PRJ-000700,AST-0006596,Laptop,EOL within 12 months,2026,2026-08-29,,1622.97,In Progress,Vendor Lead Time
PRJ-000701,AST-0004232,Laptop,EOL within 24 months,2028,2028-07-14,,2370.4,Planning,Security Exception
PRJ-000702,AST-0023045,Firewall,EOL within 12 months,2026,2026-12-26,2026-12-26,45397.88,Completed,Application Dependency
PRJ-000703,AST-0004481,Laptop,EOL within 12 months,2027,2027-04-14,,1916.6,Planning,Change Freeze
PRJ-000704,AST-0007493,Laptop,EOL within 24 months,2026,2026-11-04,,2132.01,Not Started,Change Freeze
PRJ-000705,AST-0003703,Laptop,EOL within 12 months,2028,2028-11-11,,1888.11,Planning,Change Freeze
PRJ-000706,AST-0021688,Access Switch,EOL within 24 months,2026,2026-07-25,,9680.91,Planning,None
PRJ-000707,AST-0015061,Desktop,EOL within 24 months,2027,2027-06-12,,1302.74,Planning,Vendor Lead Time
PRJ-000708,AST-0001266,Laptop,EOL within 12 months,2026,2026-12-23,,1643.34,In Progress,Application Dependency
PRJ-000709,AST-0023247,Wireless Access Point,EOL within 24 months,2028,2028-12-02,,922.84,Deferred,Branch Scheduling
PRJ-000710,AST-0000882,Laptop,EOL within 24 months,2028,2028-05-03,,2209.17,Deferred,Vendor Lead Time
PRJ-000711,AST-0001199,Laptop,Past EOL,2028,2028-12-16,,1845.18,In Progress,None
PRJ-000712,AST-0000031,Laptop,EOL within 12 months,2026,2026-08-27,,1847.86,Not Started,Branch Scheduling
PRJ-000713,AST-0017837,Desktop,EOL within 12 months,2028,2028-01-31,,975.94,Planning,Security Exception
PRJ-000714,AST-0012183,Laptop,EOL within 24 months,2026,2026-12-20,,1801.4,Deferred,Vendor Lead Time
PRJ-000715,AST-0006255,Laptop,EOL within 12 months,2027,2027-09-03,,1434.45,In Progress,Change Freeze
PRJ-000716,AST-0005326,Laptop,EOL within 12 months,2027,2027-01-12,,1410.47,Planning,Branch Scheduling
PRJ-000717,AST-0021463,Server,EOL within 24 months,2028,2028-06-22,2028-06-24,11264.84,Completed,Vendor Lead Time
PRJ-000718,AST-0012552,Laptop,Past EOL,2027,2027-04-13,2027-05-14,1809.69,Completed,Security Exception
PRJ-000719,AST-0012659,Laptop,Past EOL,2027,2027-06-30,2027-07-17,1716.55,Completed,Budget Approval
PRJ-000720,AST-0016049,Desktop,EOL within 12 months,2028,2028-07-26,,1054.74,Not Started,Application Dependency
PRJ-000721,AST-0010153,Laptop,EOL within 24 months,2027,2027-08-21,,1707.68,Planning,Change Freeze
PRJ-000722,AST-0023822,Wireless Access Point,EOL within 24 months,2026,2026-11-28,,1496.8,Not Started,Budget Approval
PRJ-000723,AST-0000431,Laptop,EOL within 24 months,2028,2028-02-29,,1804.84,In Progress,None
PRJ-000724,AST-0014905,Desktop,EOL within 24 months,2027,2027-08-30,,1101.08,In Progress,Budget Approval
PRJ-000725,AST-0001402,Laptop,EOL within 12 months,2028,2028-01-28,,2051.42,In Progress,Branch Scheduling
PRJ-000726,AST-0000179,Laptop,EOL within 12 months,2027,2027-05-05,,2223.46,Planning,Budget Approval
PRJ-000727,AST-0009767,Laptop,EOL within 24 months,2026,2026-08-27,,3575.22,In Progress,Change Freeze
PRJ-000728,AST-0011841,Laptop,EOL within 24 months,2026,2026-10-09,,1909.7,Not Started,Branch Scheduling
PRJ-000729,AST-0021325,Server,EOL within 24 months,2027,2027-04-14,,14361.96,Planning,Change Freeze
PRJ-000730,AST-0001700,Laptop,EOL within 12 months,2028,2028-03-20,,2011.54,Planning,Branch Scheduling
PRJ-000731,AST-0014120,Desktop,EOL within 12 months,2028,2028-04-23,,1100.28,Not Started,Application Dependency
PRJ-000732,AST-0021092,Server,EOL within 24 months,2028,2028-04-04,,11670.79,Blocked,Vendor Lead Time
PRJ-000733,AST-0002516,Laptop,Past EOL,2028,2028-07-04,,1487.94,Planning,Application Dependency
PRJ-000734,AST-0013203,Laptop,Past EOL,2027,2027-09-07,,1573.78,Not Started,Branch Scheduling
PRJ-000735,AST-0015019,Desktop,EOL within 12 months,2027,2027-08-22,2027-10-29,1000.48,Completed,Vendor Lead Time
PRJ-000736,AST-0008009,Laptop,EOL within 24 months,2028,2028-04-04,,1895.63,Deferred,None
PRJ-000737,AST-0015295,Desktop,EOL within 24 months,2027,2027-05-21,2027-05-28,1000.16,Completed,Security Exception
PRJ-000738,AST-0010568,Laptop,EOL within 12 months,2028,2028-12-03,,1609.57,Not Started,Change Freeze
PRJ-000739,AST-0011704,Laptop,EOL within 24 months,2027,2027-05-20,,3788.38,Planning,Budget Approval
PRJ-000740,AST-0010780,Laptop,Past EOL,2027,2027-05-08,,1997.67,Planning,Security Exception
PRJ-000741,AST-0008400,Laptop,EOL within 12 months,2027,2027-09-12,,2188.24,Blocked,Application Dependency
PRJ-000742,AST-0019529,VDI Endpoint,EOL within 24 months,2028,2028-04-08,,849.2,Blocked,None
PRJ-000743,AST-0001542,Laptop,EOL within 12 months,2027,2027-11-30,2027-11-05,2207.26,Completed,Application Dependency
PRJ-000744,AST-0001482,Laptop,Past EOL,2026,2026-12-01,,1509.95,Planning,Application Dependency
PRJ-000745,AST-0023545,Wireless Access Point,EOL within 12 months,2028,2028-04-15,,788.35,Not Started,Change Freeze
PRJ-000746,AST-0021876,Access Switch,EOL within 24 months,2028,2028-02-10,,4739.9,In Progress,Budget Approval
PRJ-000747,AST-0006568,Laptop,Past EOL,2028,2028-03-30,,1681.61,Planning,Change Freeze
PRJ-000748,AST-0017026,Desktop,EOL within 12 months,2027,2027-10-28,,1184.26,Planning,Branch Scheduling
PRJ-000749,AST-0004974,Laptop,Past EOL,2027,2027-10-31,,1476.8,Planning,Vendor Lead Time
PRJ-000750,AST-0012577,Laptop,Past EOL,2027,2027-12-24,,1868.63,Planning,Application Dependency
PRJ-000751,AST-0023017,Router,EOL within 12 months,2028,2028-09-20,2028-08-31,7400.34,Completed,Security Exception
PRJ-000752,AST-0019088,VDI Endpoint,EOL within 12 months,2028,2028-12-25,,1056.61,Not Started,Branch Scheduling
PRJ-000753,AST-0012637,Laptop,EOL within 12 months,2028,2028-05-01,,1490.21,In Progress,Budget Approval
PRJ-000754,AST-0002395,Laptop,EOL within 24 months,2028,2028-04-02,,1530.19,Blocked,None
PRJ-000755,AST-0019045,VDI Endpoint,EOL within 24 months,2027,2027-08-30,,1180.47,Not Started,Vendor Lead Time
PRJ-000756,AST-0013400,Laptop,EOL within 24 months,2026,2026-06-28,,1585.24,Not Started,Security Exception
PRJ-000757,AST-0001409,Laptop,EOL within 24 months,2029,2029-01-04,,1706.43,Not Started,Branch Scheduling
PRJ-000758,AST-0004866,Laptop,Past EOL,2026,2026-12-02,2027-01-25,2000.76,Completed,Vendor Lead Time
PRJ-000759,AST-0014495,Desktop,EOL within 24 months,2027,2027-03-01,2027-05-16,991.91,Completed,Application Dependency
PRJ-000760,AST-0022720,Core Switch,EOL within 24 months,2027,2027-05-26,,20746.54,Planning,None
PRJ-000761,AST-0023169,Firewall,EOL within 12 months,2026,2026-08-24,,51279.27,Not Started,Application Dependency
PRJ-000762,AST-0011806,Laptop,EOL within 12 months,2026,2026-07-27,2026-10-13,2000.63,Completed,Branch Scheduling
PRJ-000763,AST-0018059,Desktop,EOL within 12 months,2028,2028-11-07,,1120.28,Not Started,None
PRJ-000764,AST-0010826,Laptop,EOL within 24 months,2026,2026-07-12,,3726.14,Not Started,Budget Approval
PRJ-000765,AST-0005977,Laptop,EOL within 24 months,2027,2027-10-20,,1856.62,Blocked,Vendor Lead Time
PRJ-000766,AST-0013366,Laptop,EOL within 24 months,2026,2026-07-21,2026-08-19,3189.41,Completed,None
PRJ-000767,AST-0016592,Desktop,EOL within 12 months,2028,2028-08-21,2028-09-30,1275.62,Completed,Branch Scheduling
PRJ-000768,AST-0011536,Laptop,EOL within 12 months,2026,2026-08-07,,1796.29,In Progress,None
PRJ-000769,AST-0001774,Laptop,EOL within 12 months,2026,2026-10-13,,1843.96,In Progress,Security Exception
PRJ-000770,AST-0023350,Wireless Access Point,EOL within 24 months,2028,2028-11-26,,1395.68,Planning,Vendor Lead Time
PRJ-000771,AST-0019324,VDI Endpoint,EOL within 12 months,2028,2028-07-12,,1320.24,Not Started,Security Exception
PRJ-000772,AST-0002085,Laptop,EOL within 24 months,2028,2028-08-28,,3135.87,Deferred,Vendor Lead Time
PRJ-000773,AST-0007818,Laptop,EOL within 12 months,2026,2026-10-25,,1494.04,Blocked,Vendor Lead Time
PRJ-000774,AST-0017440,Desktop,EOL within 12 months,2027,2027-05-12,,1058.62,Planning,Change Freeze
PRJ-000775,AST-0003518,Laptop,EOL within 12 months,2026,2026-08-28,,1589.33,Not Started,Budget Approval
PRJ-000776,AST-0008820,Laptop,EOL within 24 months,2028,2028-04-18,,2114.36,Not Started,Vendor Lead Time
PRJ-000777,AST-0001834,Laptop,EOL within 24 months,2027,2027-06-14,,3387.03,Planning,Change Freeze
PRJ-000778,AST-0022702,Core Switch,EOL within 24 months,2027,2027-03-03,2027-05-15,29544.39,Completed,Security Exception
PRJ-000779,AST-0011318,Laptop,EOL within 24 months,2028,2028-10-30,2028-10-18,2691.44,Completed,Change Freeze
PRJ-000780,AST-0003358,Laptop,EOL within 24 months,2027,2027-02-10,,3700.35,Not Started,Change Freeze
PRJ-000781,AST-0000348,Laptop,EOL within 12 months,2028,2028-12-30,2029-03-19,1852.68,Completed,Application Dependency
PRJ-000782,AST-0011752,Laptop,EOL within 24 months,2028,2028-01-14,2028-02-24,1622.41,Completed,Budget Approval
PRJ-000783,AST-0017704,Desktop,EOL within 24 months,2027,2027-04-12,,1106.0,In Progress,Budget Approval
PRJ-000784,AST-0007861,Laptop,Past EOL,2027,2027-04-02,,1463.9,Not Started,Change Freeze
PRJ-000785,AST-0003554,Laptop,EOL within 12 months,2028,2028-09-10,,2173.27,Planning,Application Dependency
PRJ-000786,AST-0006595,Laptop,EOL within 12 months,2027,2027-08-30,,2017.46,Not Started,Budget Approval
PRJ-000787,AST-0007689,Laptop,EOL within 12 months,2028,2028-12-17,,1885.29,Planning,Change Freeze
PRJ-000788,AST-0015938,Desktop,EOL within 12 months,2027,2027-10-05,,945.49,Not Started,Budget Approval
PRJ-000789,AST-0006845,Laptop,Past EOL,2028,2028-11-17,,1456.96,Planning,Branch Scheduling
PRJ-000790,AST-0013565,Laptop,Past EOL,2028,2028-09-04,,1931.93,In Progress,Change Freeze
PRJ-000791,AST-0003769,Laptop,Past EOL,2027,2027-07-18,,1581.66,In Progress,Vendor Lead Time
PRJ-000792,AST-0003525,Laptop,EOL within 24 months,2028,2028-06-23,,1637.79,Planning,Budget Approval
PRJ-000793,AST-0014462,Desktop,EOL within 24 months,2027,2027-04-03,,1255.92,In Progress,Security Exception
PRJ-000794,AST-0009601,Laptop,EOL within 24 months,2026,2026-09-05,,1902.19,Not Started,Budget Approval
PRJ-000795,AST-0004368,Laptop,Past EOL,2028,2028-03-28,2028-03-24,1955.0,Completed,Change Freeze
PRJ-000796,AST-0022034,Access Switch,EOL within 24 months,2028,2028-12-24,2029-01-04,4790.95,Completed,Vendor Lead Time
PRJ-000797,AST-0023224,Wireless Access Point,EOL within 12 months,2027,2027-03-11,,938.31,Blocked,Branch Scheduling
PRJ-000798,AST-0012142,Laptop,EOL within 24 months,2027,2027-12-27,,2192.8,Not Started,Budget Approval
PRJ-000799,AST-0011798,Laptop,Past EOL,2028,2028-06-19,,1614.97,Not Started,Application Dependency
PRJ-000800,AST-0003207,Laptop,EOL within 24 months,2026,2026-09-18,,1502.15,Planning,None
PRJ-000801,AST-0001076,Laptop,EOL within 12 months,2028,2028-03-11,,1981.42,Planning,Change Freeze
PRJ-000802,AST-0017097,Desktop,EOL within 12 months,2028,2028-05-27,2028-05-27,1414.02,Completed,None
PRJ-000803,AST-0007563,Laptop,EOL within 12 months,2028,2028-12-20,,1615.75,Not Started,Vendor Lead Time
PRJ-000804,AST-0016105,Desktop,EOL within 12 months,2028,2028-04-28,,1124.48,In Progress,Branch Scheduling
PRJ-000805,AST-0013351,Laptop,EOL within 12 months,2028,2028-10-31,,1938.78,Planning,Branch Scheduling
PRJ-000806,AST-0019333,VDI Endpoint,EOL within 12 months,2026,2026-08-25,,1189.21,Not Started,Budget Approval
PRJ-000807,AST-0003166,Laptop,EOL within 24 months,2027,2027-01-21,,3511.45,Not Started,Security Exception
PRJ-000808,AST-0021418,Server,EOL within 24 months,2026,2026-10-08,,11266.76,Planning,Vendor Lead Time
PRJ-000809,AST-0014416,Desktop,EOL within 24 months,2028,2028-08-16,,1095.81,Deferred,Vendor Lead Time
PRJ-000810,AST-0019781,VDI Endpoint,EOL within 24 months,2028,2028-04-08,,1150.37,Planning,Vendor Lead Time
PRJ-000811,AST-0010390,Laptop,Past EOL,2027,2027-07-14,,1373.65,Planning,Budget Approval
PRJ-000812,AST-0017081,Desktop,EOL within 24 months,2026,2026-11-10,,1216.83,In Progress,Budget Approval
PRJ-000813,AST-0017200,Desktop,EOL within 12 months,2027,2027-06-27,,1008.57,Deferred,Branch Scheduling
PRJ-000814,AST-0011876,Laptop,Past EOL,2026,2026-11-22,,1375.18,Not Started,Change Freeze
PRJ-000815,AST-0016158,Desktop,EOL within 24 months,2028,2028-08-18,,1097.51,In Progress,Change Freeze
PRJ-000816,AST-0021968,Access Switch,EOL within 24 months,2026,2026-10-14,,8334.52,Planning,Branch Scheduling
PRJ-000817,AST-0001900,Laptop,EOL within 12 months,2026,2026-06-17,,1951.96,Deferred,Change Freeze
PRJ-000818,AST-0018133,Desktop,EOL within 24 months,2027,2027-09-10,,1265.82,In Progress,Security Exception
PRJ-000819,AST-0016638,Desktop,EOL within 24 months,2026,2026-10-30,,1270.51,Not Started,Budget Approval
PRJ-000820,AST-0021372,Server,EOL within 24 months,2027,2027-02-15,2027-04-12,10666.11,Completed,None
PRJ-000821,AST-0007890,Laptop,EOL within 12 months,2026,2026-10-21,,2146.59,In Progress,Application Dependency
PRJ-000822,AST-0013054,Laptop,Past EOL,2027,2027-04-11,,1703.61,Planning,None
PRJ-000823,AST-0008353,Laptop,Past EOL,2028,2028-04-09,,1826.42,Not Started,Branch Scheduling
PRJ-000824,AST-0023128,Firewall,EOL within 12 months,2028,2028-06-23,,23791.64,Planning,Security Exception
PRJ-000825,AST-0004797,Laptop,Past EOL,2028,2028-12-17,,1772.88,Not Started,Vendor Lead Time
PRJ-000826,AST-0002844,Laptop,EOL within 12 months,2027,2027-05-13,,2002.04,In Progress,Branch Scheduling
PRJ-000827,AST-0004390,Laptop,Past EOL,2027,2027-08-08,,1344.82,In Progress,Change Freeze
PRJ-000828,AST-0015818,Desktop,EOL within 12 months,2028,2028-08-23,,1265.61,In Progress,Security Exception
PRJ-000829,AST-0012370,Laptop,EOL within 12 months,2027,2027-09-22,,1437.9,Not Started,Budget Approval
PRJ-000830,AST-0011251,Laptop,EOL within 24 months,2026,2026-06-25,,2180.77,In Progress,None
PRJ-000831,AST-0015000,Desktop,EOL within 12 months,2026,2026-10-14,,1174.1,Not Started,Vendor Lead Time
PRJ-000832,AST-0007197,Laptop,EOL within 12 months,2028,2028-04-04,,2149.66,Deferred,Branch Scheduling
PRJ-000833,AST-0009776,Laptop,EOL within 24 months,2026,2026-12-24,,2467.78,In Progress,Vendor Lead Time
PRJ-000834,AST-0018596,VDI Endpoint,EOL within 24 months,2028,2028-01-13,2028-01-06,1048.23,Completed,Security Exception
PRJ-000835,AST-0000340,Laptop,Past EOL,2027,2027-05-14,,1576.46,Planning,Security Exception
PRJ-000836,AST-0017322,Desktop,EOL within 24 months,2028,2028-04-14,,1193.72,Planning,Branch Scheduling
