Project_ID,Asset_ID,Project_Name,Planned_Refresh_Date,Actual_Refresh_Date,Project_Portfolio,Project_Status,Planned_Budget_Amount
PRJ001085,A0015280,Technology Refresh Wave,2026-06-29,,Infrastructure,Proposed,974.45
PRJ001086,A0002146,Technology Refresh Wave,2026-11-01,,End User Computing,Completed,1080.65
PRJ001087,A0005884,Technology Refresh Wave,2026-04-25,,Cloud,Proposed,1498.3
PRJ001088,A0019614,Technology Refresh Wave,2028-10-16,,Security,In Progress,599.75
PRJ001089,A0008391,Technology Refresh Wave,2028-11-05,,Network,Deferred,855.38
PRJ001090,A0013200,Technology Refresh Wave,2027-07-28,,Security,Approved,1345.99
PRJ001091,A0000997,Technology Refresh Wave,2027-05-20,,Cloud,Approved,2328.91
PRJ001092,A0016548,Technology Refresh Wave,2028-12-20,,Infrastructure,Approved,728.37
PRJ001093,A0003427,Technology Refresh Wave,2028-10-29,,Infrastructure,Proposed,1152.22
PRJ001094,A0014983,Technology Refresh Wave,2026-05-30,,End User Computing,Proposed,1075.12
PRJ001095,A0002056,Technology Refresh Wave,2028-05-08,,Network,Approved,1253.38
PRJ001096,A0019756,Technology Refresh Wave,2026-05-06,,Security,Approved,399.83
PRJ001097,A0008920,Technology Refresh Wave,2027-04-15,,Infrastructure,Approved,1438.53
PRJ001098,A0006088,Technology Refresh Wave,2026-10-10,,End User Computing,Deferred,1626.59
PRJ001099,A0004337,Technology Refresh Wave,2026-02-07,,Infrastructure,Approved,1588.7
PRJ001100,A0013626,Technology Refresh Wave,2027-05-16,,Cloud,Proposed,1163.74
PRJ001101,A0022066,Technology Refresh Wave,2028-12-19,,Infrastructure,Deferred,5254.8
PRJ001102,A0022129,Technology Refresh Wave,2026-01-29,,Security,In Progress,7843.88
PRJ001103,A0007470,Technology Refresh Wave,2027-05-29,,Security,Proposed,1487.17
PRJ001104,A0021612,Technology Refresh Wave,2026-05-13,,Security,Proposed,5518.76
PRJ001105,A0002584,Technology Refresh Wave,2028-11-08,,End User Computing,In Progress,1235.87
PRJ001106,A0006243,Technology Refresh Wave,2027-07-01,,Infrastructure,Completed,931.72
PRJ001107,A0002642,Technology Refresh Wave,2028-12-14,,Cloud,Approved,1454.45
PRJ001108,A0021088,Technology Refresh Wave,2028-01-20,,Infrastructure,In Progress,16612.33
PRJ001109,A0006070,Technology Refresh Wave,2026-05-28,,Cloud,In Progress,1129.57
PRJ001110,A0000867,Technology Refresh Wave,2028-05-29,,Network,Proposed,1278.3
PRJ001111,A0023717,Technology Refresh Wave,2028-02-02,,Infrastructure,Approved,72509.05
PRJ001112,A0015056,Technology Refresh Wave,2028-05-04,,Network,In Progress,964.87
PRJ001113,A0001643,Technology Refresh Wave,2028-02-07,,Cloud,Completed,1802.45
PRJ001114,A0009876,Technology Refresh Wave,2028-03-22,,Network,Completed,940.53
PRJ001115,A0022873,Technology Refresh Wave,2026-03-04,,Infrastructure,In Progress,33449.24
PRJ001116,A0010357,Technology Refresh Wave,2027-10-10,,Security,Approved,1138.24
PRJ001117,A0003617,Technology Refresh Wave,2028-10-04,,End User Computing,In Progress,1187.37
PRJ001118,A0021741,Technology Refresh Wave,2028-11-06,,End User Computing,Deferred,3964.14
PRJ001119,A0015579,Technology Refresh Wave,2028-07-18,,Cloud,Proposed,1048.7
PRJ001120,A0005360,Technology Refresh Wave,2028-03-04,,Security,Proposed,2473.01
PRJ001121,A0020066,Technology Refresh Wave,2027-05-18,,Network,Deferred,17575.91
PRJ001122,A0013524,Technology Refresh Wave,2026-01-25,,Infrastructure,Proposed,1582.81
PRJ001123,A0007460,Technology Refresh Wave,2026-06-23,,Cloud,Deferred,1167.7
PRJ001124,A0004485,Technology Refresh Wave,2026-08-29,,Cloud,Approved,1319.39
PRJ001125,A0010183,Technology Refresh Wave,2026-04-20,,Security,Proposed,901.62
PRJ001126,A0007168,Technology Refresh Wave,2027-08-18,,End User Computing,Completed,1212.65
PRJ001127,A0018004,Technology Refresh Wave,2028-02-06,,Security,Approved,854.85
PRJ001128,A0005365,Technology Refresh Wave,2028-01-22,,Cloud,Proposed,1195.75
PRJ001129,A0003078,Technology Refresh Wave,2028-04-21,,Infrastructure,Proposed,783.29
PRJ001130,A0014970,Technology Refresh Wave,2028-11-27,,Cloud,In Progress,911.22
PRJ001131,A0019781,Technology Refresh Wave,2028-03-05,,End User Computing,In Progress,478.88
PRJ001132,A0009741,Technology Refresh Wave,2026-03-14,,Infrastructure,Proposed,1077.32
PRJ001133,A0008604,Technology Refresh Wave,2026-08-03,,Network,In Progress,2830.11
PRJ001134,A0000342,Technology Refresh Wave,2027-10-28,,Cloud,Deferred,1058.54
PRJ001135,A0006897,Technology Refresh Wave,2028-08-30,,Infrastructure,In Progress,1220.51
PRJ001136,A0009439,Technology Refresh Wave,2028-09-01,,End User Computing,In Progress,954.9
PRJ001137,A0002735,Technology Refresh Wave,2027-08-05,,Security,Proposed,1807.26
PRJ001138,A0009153,Technology Refresh Wave,2028-11-02,,Security,Proposed,1291.73
PRJ001139,A0005103,Technology Refresh Wave,2027-01-04,,End User Computing,In Progress,1106.27
PRJ001140,A0011215,Technology Refresh Wave,2026-02-12,,Infrastructure,In Progress,1317.63
PRJ001141,A0013614,Technology Refresh Wave,2026-10-26,,End User Computing,Completed,1286.99
PRJ001142,A0007178,Technology Refresh Wave,2026-07-27,,End User Computing,Approved,1207.74
PRJ001143,A0002426,Technology Refresh Wave,2026-10-18,,Cloud,Approved,1538.2
PRJ001144,A0009424,Technology Refresh Wave,2026-05-30,,Cloud,Deferred,1196.01
PRJ001145,A0021018,Technology Refresh Wave,2028-05-02,,Security,Proposed,15972.63
PRJ001146,A0005611,Technology Refresh Wave,2026-10-27,,Infrastructure,Approved,1394.16
PRJ001147,A0007720,Technology Refresh Wave,2026-11-29,,Infrastructure,Approved,1324.26
PRJ001148,A0023155,Technology Refresh Wave,2026-09-09,,Infrastructure,Approved,519.3
PRJ001149,A0005863,Technology Refresh Wave,2027-11-09,,Infrastructure,Proposed,991.48
PRJ001150,A0013294,Technology Refresh Wave,2028-04-03,,End User Computing,Proposed,1199.45
PRJ001151,A0010008,Technology Refresh Wave,2028-02-27,,Cloud,In Progress,1685.12
PRJ001152,A0019775,Technology Refresh Wave,2027-11-10,,Security,Proposed,443.83
PRJ001153,A0006661,Technology Refresh Wave,2028-06-18,,Security,Proposed,1912.79
PRJ001154,A0007923,Technology Refresh Wave,2028-01-27,,Network,In Progress,1103.9
PRJ001155,A0016665,Technology Refresh Wave,2028-09-19,,Network,Deferred,873.36
PRJ001156,A0006831,Technology Refresh Wave,2027-07-11,,Infrastructure,In Progress,1348.25
PRJ001157,A0004029,Technology Refresh Wave,2026-07-15,,Security,Completed,1986.32
PRJ001158,A0008605,Technology Refresh Wave,2027-07-23,,Cloud,Completed,1172.24
PRJ001159,A0016344,Technology Refresh Wave,2026-06-07,,Infrastructure,Approved,775.98
PRJ001160,A0016618,Technology Refresh Wave,2027-09-14,,Security,Deferred,945.5
PRJ001161,A0021672,Technology Refresh Wave,2026-09-05,,Infrastructure,Deferred,6269.9
PRJ001162,A0021392,Technology Refresh Wave,2028-02-16,,Cloud,Deferred,15751.81
PRJ001163,A0016864,Technology Refresh Wave,2026-06-25,,End User Computing,Deferred,743.23
PRJ001164,A0019988,Technology Refresh Wave,2027-08-13,,Network,In Progress,409.29
PRJ001165,A0001711,Technology Refresh Wave,2027-11-09,,Network,In Progress,1210.17
PRJ001166,A0021333,Technology Refresh Wave,2026-09-10,,Network,Proposed,18560.1
PRJ001167,A0018780,Technology Refresh Wave,2028-10-28,,End User Computing,In Progress,376.34
PRJ001168,A0020493,Technology Refresh Wave,2028-03-01,,Network,In Progress,11466.93
PRJ001169,A0021676,Technology Refresh Wave,2028-06-25,,Security,In Progress,4813.12
PRJ001170,A0016121,Technology Refresh Wave,2028-04-22,,End User Computing,Deferred,763.42
PRJ001171,A0014823,Technology Refresh Wave,2027-02-20,,Security,Proposed,897.72
PRJ001172,A0008159,Technology Refresh Wave,2026-02-09,,End User Computing,In Progress,1007.98
PRJ001173,A0001028,Technology Refresh Wave,2026-10-17,,Cloud,Approved,1632.7
PRJ001174,A0009749,Technology Refresh Wave,2028-12-23,,Cloud,In Progress,1120.1
PRJ001175,A0002324,Technology Refresh Wave,2028-06-23,,Network,In Progress,1124.74
PRJ001176,A0016570,Technology Refresh Wave,2027-07-15,,Infrastructure,In Progress,1152.45
PRJ001177,A0016684,Technology Refresh Wave,2028-11-09,,Network,Proposed,1275.59
PRJ001178,A0011509,Technology Refresh Wave,2028-08-23,,End User Computing,Deferred,1286.57
PRJ001179,A0005218,Technology Refresh Wave,2026-06-07,,Infrastructure,In Progress,1233.67
PRJ001180,A0008157,Technology Refresh Wave,2026-12-28,,Network,Approved,1275.74
PRJ001181,A0003746,Technology Refresh Wave,2027-09-28,,Security,Approved,1561.8
PRJ001182,A0016427,Technology Refresh Wave,2027-04-01,,End User Computing,In Progress,1177.43
PRJ001183,A0004967,Technology Refresh Wave,2026-10-10,,End User Computing,Completed,1121.56
PRJ001184,A0000313,Technology Refresh Wave,2027-04-24,,Infrastructure,Completed,1114.65
PRJ001185,A0009567,Technology Refresh Wave,2027-06-02,,Network,Completed,1141.69
PRJ001186,A0007913,Technology Refresh Wave,2026-04-04,,Cloud,In Progress,1007.8
PRJ001187,A0009813,Technology Refresh Wave,2026-12-10,,Network,Proposed,1256.16
PRJ001188,A0014475,Technology Refresh Wave,2028-10-25,,Security,Deferred,870.05
PRJ001189,A0021218,Technology Refresh Wave,2027-02-17,,Security,In Progress,11525.52
PRJ001190,A0020986,Technology Refresh Wave,2026-03-04,,Network,Proposed,13773.57
PRJ001191,A0022514,Technology Refresh Wave,2026-09-23,,End User Computing,In Progress,18963.22
PRJ001192,A0010386,Technology Refresh Wave,2028-02-06,,Network,Deferred,1158.23
PRJ001193,A0000279,Technology Refresh Wave,2028-02-26,,Network,Approved,859.42
PRJ001194,A0007950,Technology Refresh Wave,2027-06-17,,Security,Proposed,1167.43
PRJ001195,A0021308,Technology Refresh Wave,2026-04-02,,End User Computing,Deferred,16311.56
PRJ001196,A0017575,Technology Refresh Wave,2027-07-06,,Network,Proposed,667.62
PRJ001197,A0013360,Technology Refresh Wave,2026-07-03,,End User Computing,Completed,1049.23
PRJ001198,A0012759,Technology Refresh Wave,2028-03-02,,Cloud,Proposed,1633.61
PRJ001199,A0013507,Technology Refresh Wave,2027-01-19,,Security,Approved,1253.94
PRJ001200,A0011052,Technology Refresh Wave,2027-01-21,,Network,Proposed,1602.24
PRJ001201,A0014282,Technology Refresh Wave,2028-07-28,,Security,In Progress,816.34
PRJ001202,A0003875,Technology Refresh Wave,2028-07-08,,Infrastructure,Approved,1440.98
PRJ001203,A0001132,Technology Refresh Wave,2028-01-11,,Network,Approved,1354.25
PRJ001204,A0000218,Technology Refresh Wave,2027-09-01,,Security,Approved,1283.35
PRJ001205,A0008234,Technology Refresh Wave,2028-07-29,,Cloud,In Progress,930.54
PRJ001206,A0000374,Technology Refresh Wave,2028-07-28,,Security,Proposed,1560.95
PRJ001207,A0005720,Technology Refresh Wave,2027-05-23,,Security,Approved,1200.57
PRJ001208,A0015397,Technology Refresh Wave,2027-05-17,,Network,Deferred,991.58
PRJ001209,A0007164,Technology Refresh Wave,2026-06-28,,End User Computing,In Progress,1518.17
PRJ001210,A0019010,Technology Refresh Wave,2027-03-25,,End User Computing,Deferred,586.85
PRJ001211,A0006877,Technology Refresh Wave,2028-09-13,,Network,Approved,1535.86
PRJ001212,A0001676,Technology Refresh Wave,2028-09-11,,Security,Approved,1855.35
PRJ001213,A0001748,Technology Refresh Wave,2026-05-14,,Network,Proposed,1214.07
PRJ001214,A0010200,Technology Refresh Wave,2027-02-19,,Infrastructure,Deferred,1257.99
PRJ001215,A0016441,Technology Refresh Wave,2027-06-07,,Security,Deferred,882.78
PRJ001216,A0005837,Technology Refresh Wave,2027-12-18,,Network,Deferred,2731.54
PRJ001217,A0020027,Technology Refresh Wave,2026-02-22,,Cloud,Approved,14630.66
PRJ001218,A0021316,Technology Refresh Wave,2028-08-11,,Infrastructure,In Progress,15245.82
PRJ001219,A0015076,Technology Refresh Wave,2027-08-29,,End User Computing,Proposed,1012.87
PRJ001220,A0022775,Technology Refresh Wave,2028-07-22,,Infrastructure,Deferred,13087.44
PRJ001221,A0004247,Technology Refresh Wave,2026-04-01,,Security,Approved,1262.48
PRJ001222,A0009620,Technology Refresh Wave,2028-09-01,,Network,Proposed,1165.73
PRJ001223,A0021688,Technology Refresh Wave,2027-10-20,,Cloud,Approved,6162.31
PRJ001224,A0019253,Technology Refresh Wave,2027-02-20,,End User Computing,Approved,360.19
PRJ001225,A0008408,Technology Refresh Wave,2028-12-03,,Network,In Progress,1397.21
PRJ001226,A0014938,Technology Refresh Wave,2027-06-17,,End User Computing,Proposed,957.44
PRJ001227,A0014308,Technology Refresh Wave,2026-10-19,,Cloud,Completed,1286.14
PRJ001228,A0002716,Technology Refresh Wave,2027-11-15,,End User Computing,Deferred,1630.25
PRJ001229,A0013621,Technology Refresh Wave,2028-09-11,,Network,Proposed,2439.31
PRJ001230,A0010352,Technology Refresh Wave,2028-04-25,,Cloud,Deferred,1080.23
PRJ001231,A0006742,Technology Refresh Wave,2026-12-22,,Cloud,Completed,2074.39
PRJ001232,A0008671,Technology Refresh Wave,2028-05-15,,Cloud,Completed,2173.2
PRJ001233,A0022853,Technology Refresh Wave,2026-08-23,,Network,Approved,30106.88
PRJ001234,A0017363,Technology Refresh Wave,2028-06-15,,Infrastructure,In Progress,1017.96
PRJ001235,A0001511,Technology Refresh Wave,2026-06-05,,Network,Deferred,1389.68
PRJ001236,A0020856,Technology Refresh Wave,2028-06-13,,Security,Proposed,21393.27
PRJ001237,A0000120,Technology Refresh Wave,2028-11-04,,Cloud,Deferred,1147.56
PRJ001238,A0004561,Technology Refresh Wave,2026-09-25,,End User Computing,Deferred,1034.38
PRJ001239,A0016338,Technology Refresh Wave,2026-08-20,,Security,Completed,1127.6
PRJ001240,A0013475,Technology Refresh Wave,2026-06-18,,End User Computing,Completed,1163.31
PRJ001241,A0012287,Technology Refresh Wave,2028-01-25,,Cloud,Approved,1062.54
PRJ001242,A0018638,Technology Refresh Wave,2026-03-07,,Cloud,In Progress,458.38
PRJ001243,A0016311,Technology Refresh Wave,2028-08-19,,End User Computing,Deferred,696.65
PRJ001244,A0009751,Technology Refresh Wave,2028-01-04,,Network,Proposed,1222.49
PRJ001245,A0013374,Technology Refresh Wave,2028-12-08,,Cloud,Approved,1339.73
PRJ001246,A0009542,Technology Refresh Wave,2026-05-02,,Infrastructure,Approved,974.72
PRJ001247,A0018483,Technology Refresh Wave,2027-08-28,,Cloud,In Progress,911.54
PRJ001248,A0022444,Technology Refresh Wave,2028-02-11,,End User Computing,Deferred,15186.68
PRJ001249,A0017364,Technology Refresh Wave,2027-05-18,,Network,Proposed,840.24
PRJ001250,A0020520,Technology Refresh Wave,2028-09-24,,Infrastructure,In Progress,17293.81
PRJ001251,A0018068,Technology Refresh Wave,2028-10-20,,End User Computing,Approved,1243.67
PRJ001252,A0006675,Technology Refresh Wave,2027-07-09,,Infrastructure,Approved,2322.19
PRJ001253,A0018681,Technology Refresh Wave,2027-07-23,,Security,In Progress,320.75
PRJ001254,A0014380,Technology Refresh Wave,2026-10-08,,Network,Deferred,842.7
PRJ001255,A0008827,Technology Refresh Wave,2027-07-02,,Security,In Progress,1654.71
PRJ001256,A0011629,Technology Refresh Wave,2028-10-16,,Network,Completed,1230.69
PRJ001257,A0016762,Technology Refresh Wave,2027-05-21,,End User Computing,Completed,923.41
PRJ001258,A0006979,Technology Refresh Wave,2028-07-01,,Security,Proposed,984.0
PRJ001259,A0008762,Technology Refresh Wave,2027-09-03,,End User Computing,Deferred,1297.61
PRJ001260,A0004973,Technology Refresh Wave,2027-06-08,,Infrastructure,Proposed,1229.34
PRJ001261,A0004377,Technology Refresh Wave,2027-11-09,,Network,In Progress,2002.78
PRJ001262,A0005478,Technology Refresh Wave,2028-07-03,,Security,Approved,1316.88
PRJ001263,A0008356,Technology Refresh Wave,2028-12-07,,Infrastructure,Approved,1212.93
PRJ001264,A0002677,Technology Refresh Wave,2027-12-09,,Network,Proposed,1475.75
PRJ001265,A0008611,Technology Refresh Wave,2028-11-26,,Infrastructure,Approved,2735.39
PRJ001266,A0019050,Technology Refresh Wave,2027-02-15,,End User Computing,Approved,377.43
PRJ001267,A0009536,Technology Refresh Wave,2027-05-12,,Infrastructure,Proposed,1674.71
PRJ001268,A0021891,Technology Refresh Wave,2028-11-10,,Cloud,Proposed,7300.22
PRJ001269,A0002062,Technology Refresh Wave,2027-03-16,,Security,In Progress,1246.38
PRJ001270,A0003495,Technology Refresh Wave,2028-12-23,,Cloud,In Progress,1411.29
PRJ001271,A0010877,Technology Refresh Wave,2028-03-23,,Security,In Progress,771.56
PRJ001272,A0018706,Technology Refresh Wave,2026-06-26,,Network,Approved,491.59
PRJ001273,A0023656,Technology Refresh Wave,2028-11-29,,Infrastructure,Completed,705.77
PRJ001274,A0018126,Technology Refresh Wave,2026-08-09,,Infrastructure,Completed,625.42
PRJ001275,A0010243,Technology Refresh Wave,2026-10-21,,End User Computing,In Progress,1875.98
PRJ001276,A0013301,Technology Refresh Wave,2028-11-15,,Infrastructure,Deferred,1537.51
PRJ001277,A0022137,Technology Refresh Wave,2028-03-25,,Network,Deferred,9251.72
PRJ001278,A0006356,Technology Refresh Wave,2028-04-28,,Infrastructure,Approved,1006.2
PRJ001279,A0000548,Technology Refresh Wave,2028-05-13,,End User Computing,Approved,1320.58
PRJ001280,A0011263,Technology Refresh Wave,2026-07-24,,Network,Approved,1436.23
PRJ001281,A0008587,Technology Refresh Wave,2027-04-11,,Infrastructure,In Progress,1058.36
PRJ001282,A0012681,Technology Refresh Wave,2028-04-18,,End User Computing,Completed,1667.28
PRJ001283,A0015699,Technology Refresh Wave,2027-08-29,,Security,In Progress,1290.91
PRJ001284,A0014463,Technology Refresh Wave,2027-04-29,,Network,In Progress,769.97
PRJ001285,A0014325,Technology Refresh Wave,2027-04-24,,Security,Proposed,920.64
PRJ001286,A0007656,Technology Refresh Wave,2028-10-20,,Network,Proposed,1043.92
PRJ001287,A0009126,Technology Refresh Wave,2028-11-27,,Infrastructure,In Progress,939.49
PRJ001288,A0018017,Technology Refresh Wave,2028-05-23,,Security,Proposed,794.05
PRJ001289,A0012205,Technology Refresh Wave,2028-02-10,,End User Computing,Completed,1119.94
PRJ001290,A0017630,Technology Refresh Wave,2027-03-10,,Infrastructure,Deferred,972.32
PRJ001291,A0017582,Technology Refresh Wave,2027-11-26,,End User Computing,Approved,914.9
PRJ001292,A0003636,Technology Refresh Wave,2026-07-17,,Security,Approved,974.97
PRJ001293,A0016368,Technology Refresh Wave,2027-06-02,,Infrastructure,Deferred,1155.58
PRJ001294,A0017677,Technology Refresh Wave,2028-06-28,,End User Computing,Proposed,971.87
PRJ001295,A0015646,Technology Refresh Wave,2027-10-01,,Cloud,Completed,1018.45
PRJ001296,A0023360,Technology Refresh Wave,2028-10-22,,Infrastructure,Proposed,939.28
PRJ001297,A0013910,Technology Refresh Wave,2027-09-24,,Security,Completed,1556.26
PRJ001298,A0002708,Technology Refresh Wave,2027-08-09,,Network,In Progress,1252.23
PRJ001299,A0001963,Technology Refresh Wave,2026-06-22,,End User Computing,Proposed,1355.98
PRJ001300,A0019927,Technology Refresh Wave,2027-10-16,,Cloud,Approved,389.73
PRJ001301,A0007140,Technology Refresh Wave,2027-07-01,,Infrastructure,Completed,1779.45
PRJ001302,A0023495,Technology Refresh Wave,2026-03-09,,Network,Approved,876.84
PRJ001303,A0007506,Technology Refresh Wave,2028-04-18,,Network,Approved,1338.96
PRJ001304,A0017004,Technology Refresh Wave,2028-08-21,,Cloud,Approved,895.05
PRJ001305,A0008787,Technology Refresh Wave,2027-11-23,,End User Computing,In Progress,1114.91
PRJ001306,A0013960,Technology Refresh Wave,2027-11-28,,Infrastructure,Approved,1382.93
PRJ001307,A0004825,Technology Refresh Wave,2027-08-30,,Infrastructure,Approved,1337.63
PRJ001308,A0004376,Technology Refresh Wave,2026-11-12,,Infrastructure,Approved,2403.06
PRJ001309,A0003878,Technology Refresh Wave,2026-12-17,,Cloud,Proposed,1412.37
PRJ001310,A0020705,Technology Refresh Wave,2027-06-18,,Security,Proposed,13990.43
PRJ001311,A0007829,Technology Refresh Wave,2026-11-30,,Network,In Progress,1137.2
PRJ001312,A0007977,Technology Refresh Wave,2027-03-27,,Network,Completed,1385.26
PRJ001313,A0000684,Technology Refresh Wave,2026-10-06,,End User Computing,Proposed,1552.19
PRJ001314,A0022288,Technology Refresh Wave,2027-05-31,,Cloud,Completed,4240.57
PRJ001315,A0010264,Technology Refresh Wave,2028-08-14,,End User Computing,Approved,1197.65
PRJ001316,A0008529,Technology Refresh Wave,2027-10-23,,Infrastructure,Proposed,1267.48
PRJ001317,A0015055,Technology Refresh Wave,2028-12-13,,Cloud,Deferred,1106.4
PRJ001318,A0009560,Technology Refresh Wave,2026-11-20,,End User Computing,Completed,1011.03
PRJ001319,A0002725,Technology Refresh Wave,2027-04-19,,Infrastructure,Completed,1166.92
PRJ001320,A0021913,Technology Refresh Wave,2027-04-11,,Security,Proposed,7095.11
PRJ001321,A0008471,Technology Refresh Wave,2027-11-27,,Network,Proposed,1054.17
PRJ001322,A0019018,Technology Refresh Wave,2026-06-26,,Security,Deferred,372.17
PRJ001323,A0011759,Technology Refresh Wave,2026-12-24,,End User Computing,In Progress,1875.83
PRJ001324,A0009101,Technology Refresh Wave,2026-04-23,,Network,Approved,899.72
PRJ001325,A0009850,Technology Refresh Wave,2027-05-07,,Infrastructure,Completed,1284.52
PRJ001326,A0000564,Technology Refresh Wave,2027-06-11,,Infrastructure,Deferred,1042.82
PRJ001327,A0018935,Technology Refresh Wave,2026-03-29,,End User Computing,Proposed,434.67
PRJ001328,A0015504,Technology Refresh Wave,2027-05-25,,Cloud,Proposed,791.8
PRJ001329,A0022022,Technology Refresh Wave,2027-05-15,,Network,Approved,5278.13
PRJ001330,A0013496,Technology Refresh Wave,2028-03-14,,End User Computing,Proposed,925.72
PRJ001331,A0008488,Technology Refresh Wave,2028-12-08,,Cloud,Proposed,1144.59
PRJ001332,A0014527,Technology Refresh Wave,2027-05-16,,Network,Proposed,888.04
PRJ001333,A0014660,Technology Refresh Wave,2028-12-15,,End User Computing,Completed,871.44
PRJ001334,A0022047,Technology Refresh Wave,2027-02-21,,Security,Proposed,3955.24
PRJ001335,A0010405,Technology Refresh Wave,2028-10-08,,Security,Completed,1520.53
PRJ001336,A0010990,Technology Refresh Wave,2026-05-03,,Network,Approved,1358.29
PRJ001337,A0020551,Technology Refresh Wave,2028-10-25,,Network,Approved,13274.82
PRJ001338,A0017214,Technology Refresh Wave,2027-08-26,,Network,Completed,1022.09
PRJ001339,A0008547,Technology Refresh Wave,2028-11-12,,Network,Approved,966.54
PRJ001340,A0016451,Technology Refresh Wave,2027-09-30,,Network,Proposed,1349.75
PRJ001341,A0016468,Technology Refresh Wave,2026-08-16,,End User Computing,Deferred,636.89
PRJ001342,A0010889,Technology Refresh Wave,2026-12-01,,Cloud,Proposed,1472.38
PRJ001343,A0012814,Technology Refresh Wave,2026-09-23,,Network,Deferred,1271.58
PRJ001344,A0000327,Technology Refresh Wave,2028-12-19,,Security,Approved,1678.58
PRJ001345,A0004405,Technology Refresh Wave,2028-05-14,,End User Computing,Proposed,985.0
PRJ001346,A0023579,Technology Refresh Wave,2028-02-07,,Security,In Progress,707.02
PRJ001347,A0022296,Technology Refresh Wave,2028-01-12,,End User Computing,In Progress,6962.78
PRJ001348,A0019530,Technology Refresh Wave,2026-01-14,,Infrastructure,Approved,407.27
PRJ001349,A0007998,Technology Refresh Wave,2027-11-03,,Security,In Progress,1429.33
PRJ001350,A0008778,Technology Refresh Wave,2028-10-19,,End User Computing,Completed,1405.29
PRJ001351,A0011396,Technology Refresh Wave,2026-12-07,,Cloud,Proposed,976.13
PRJ001352,A0010186,Technology Refresh Wave,2028-02-07,,End User Computing,Deferred,1458.83
PRJ001353,A0021121,Technology Refresh Wave,2026-05-09,,Security,Deferred,12568.76
PRJ001354,A0014892,Technology Refresh Wave,2026-03-25,,End User Computing,Proposed,1133.89
PRJ001355,A0015316,Technology Refresh Wave,2026-09-22,,End User Computing,Approved,1196.63
PRJ001356,A0014355,Technology Refresh Wave,2028-11-09,,Cloud,Approved,977.86
PRJ001357,A0001528,Technology Refresh Wave,2028-05-07,,Network,Deferred,1434.62
PRJ001358,A0005594,Technology Refresh Wave,2028-11-25,,End User Computing,Approved,992.07
PRJ001359,A0013195,Technology Refresh Wave,2027-07-06,,Security,Completed,1187.81
PRJ001360,A0000719,Technology Refresh Wave,2027-12-20,,Network,Proposed,2303.19
PRJ001361,A0016116,Technology Refresh Wave,2027-08-22,,Cloud,Approved,868.34
PRJ001362,A0004086,Technology Refresh Wave,2027-10-16,,End User Computing,In Progress,1544.14
PRJ001363,A0002924,Technology Refresh Wave,2028-06-10,,Infrastructure,Proposed,1282.83
PRJ001364,A0006869,Technology Refresh Wave,2026-12-15,,End User Computing,Completed,1245.89
PRJ001365,A0006780,Technology Refresh Wave,2028-07-21,,End User Computing,Proposed,1154.35
PRJ001366,A0010679,Technology Refresh Wave,2027-09-02,,End User Computing,Proposed,1058.38
PRJ001367,A0022223,Technology Refresh Wave,2026-03-26,,Security,Approved,8157.81
PRJ001368,A0020362,Technology Refresh Wave,2027-03-28,,End User Computing,Proposed,11321.67
PRJ001369,A0014844,Technology Refresh Wave,2028-08-18,,Network,In Progress,930.05
PRJ001370,A0007592,Technology Refresh Wave,2028-04-11,,Cloud,Deferred,956.13
PRJ001371,A0012504,Technology Refresh Wave,2027-05-09,,Infrastructure,Completed,1438.1
PRJ001372,A0001766,Technology Refresh Wave,2026-09-18,,End User Computing,Completed,1088.0
PRJ001373,A0019782,Technology Refresh Wave,2026-12-19,,Security,Approved,531.34
PRJ001374,A0008764,Technology Refresh Wave,2026-05-26,,End User Computing,Deferred,1130.46
PRJ001375,A0002301,Technology Refresh Wave,2026-11-26,,End User Computing,Proposed,970.03
PRJ001376,A0003266,Technology Refresh Wave,2027-09-17,,Cloud,Deferred,941.12
PRJ001377,A0004236,Technology Refresh Wave,2027-11-07,,Cloud,In Progress,1085.65
PRJ001378,A0016673,Technology Refresh Wave,2027-11-26,,Security,In Progress,740.08
PRJ001379,A0018050,Technology Refresh Wave,2027-07-24,,Cloud,Approved,1041.53
PRJ001380,A0009225,Technology Refresh Wave,2027-02-11,,End User Computing,Approved,1499.57
PRJ001381,A0003223,Technology Refresh Wave,2026-01-22,,Infrastructure,Proposed,1310.25
PRJ001382,A0019325,Technology Refresh Wave,2028-10-16,,Network,Deferred,518.45
PRJ001383,A0010011,Technology Refresh Wave,2026-03-01,,Security,Approved,1093.27
PRJ001384,A0019630,Technology Refresh Wave,2027-03-29,,Cloud,Proposed,502.67
PRJ001385,A0000036,Technology Refresh Wave,2026-08-28,,Cloud,Approved,1200.37
PRJ001386,A0012288,Technology Refresh Wave,2026-05-11,,Cloud,Approved,1655.17
PRJ001387,A0001504,Technology Refresh Wave,2026-02-08,,Infrastructure,Approved,1182.85
PRJ001388,A0023667,Technology Refresh Wave,2026-12-30,,Infrastructure,Proposed,740.11
PRJ001389,A0023087,Technology Refresh Wave,2028-07-09,,Infrastructure,In Progress,800.12
PRJ001390,A0021944,Technology Refresh Wave,2027-10-06,,Network,In Progress,5107.72
PRJ001391,A0022192,Technology Refresh Wave,2027-01-05,,Cloud,Proposed,7351.42
PRJ001392,A0014753,Technology Refresh Wave,2026-01-18,,Network,Approved,861.27
