Incident_ID,Asset_ID,Incident_Date,Incident_Type,Severity,Downtime_Hours,Root_Cause,Status
INC-00023103,AST-0013710,2024-01-19,Storage Alert,Medium,1.47,Configuration Drift,Resolved
INC-00023104,AST-0008827,2024-12-04,Patch Failure,Critical,12.43,Capacity Issue,Open
INC-00023105,AST-0006827,2024-07-31,OS Issue,Low,0.73,Security Vulnerability,Resolved
INC-00023106,AST-0021082,2024-01-12,Hardware Failure,Medium,0,Capacity Issue,Open
INC-00023107,AST-0000539,2025-09-06,Application Error,Medium,0.83,Vendor Bug,Problem Created
INC-00023108,AST-0006442,2024-12-25,Network Outage,Critical,10.54,Configuration Drift,Closed
INC-00023109,AST-0022588,2024-02-20,Performance Degradation,Low,0,Hardware Aging,Open
INC-00023110,AST-0022022,2023-12-24,Performance Degradation,Medium,1.77,Security Vulnerability,Problem Created
INC-00023111,AST-0011943,2025-12-26,Storage Alert,Low,2.21,User Error,Problem Created
INC-00023112,AST-0006464,2025-05-13,Patch Failure,High,5.6,Configuration Drift,Open
INC-00023113,AST-0011477,2024-11-25,Security Alert,Medium,0,User Error,Resolved
INC-00023114,AST-0006620,2025-11-11,Patch Failure,High,1.58,Unsupported Software,Open
INC-00023115,AST-0002847,2026-04-18,Performance Degradation,Medium,3.29,Vendor Bug,Problem Created
INC-00023116,AST-0012459,2026-02-03,Hardware Failure,High,5.09,Unsupported Software,Resolved
INC-00023117,AST-0013087,2023-12-28,Patch Failure,Low,0.58,Capacity Issue,Closed
INC-00023118,AST-0002868,2025-03-28,Security Alert,Medium,1.02,Capacity Issue,Open
INC-00023119,AST-0001263,2025-09-26,Network Outage,Critical,10.67,Capacity Issue,Resolved
INC-00023120,AST-0014448,2023-09-10,Performance Degradation,Medium,0.66,Hardware Aging,Open
INC-00023121,AST-0017624,2023-07-28,Performance Degradation,Medium,2.0,Capacity Issue,Problem Created
INC-00023122,AST-0017762,2023-11-16,Security Alert,Medium,0.09,Security Vulnerability,Resolved
INC-00023123,AST-0022138,2026-05-18,Application Error,Medium,1.42,Capacity Issue,Problem Created
INC-00023124,AST-0015948,2025-09-21,Application Error,High,4.78,User Error,Resolved
INC-00023125,AST-0005066,2024-07-01,Hardware Failure,Medium,0.73,Unknown,Open
INC-00023126,AST-0023653,2025-09-21,OS Issue,High,3.25,Capacity Issue,Open
INC-00023127,AST-0018917,2023-11-22,Performance Degradation,Critical,9.26,Security Vulnerability,Resolved
INC-00023128,AST-0010864,2024-05-23,Patch Failure,Medium,4.27,User Error,Open
INC-00023129,AST-0008420,2024-02-12,OS Issue,Medium,1.35,Unsupported Software,Open
INC-00023130,AST-0014397,2025-06-09,Hardware Failure,Low,0,Security Vulnerability,Problem Created
INC-00023131,AST-0018753,2024-02-06,Security Alert,Low,0,Configuration Drift,Closed
INC-00023132,AST-0007409,2025-09-03,Patch Failure,Low,0,User Error,Open
INC-00023133,AST-0006514,2026-03-14,OS Issue,Medium,2.08,Hardware Aging,Resolved
INC-00023134,AST-0001083,2026-01-31,Application Error,Low,0.17,Capacity Issue,Open
INC-00023135,AST-0016677,2025-04-22,Network Outage,Low,1.55,Unknown,Closed
INC-00023136,AST-0019582,2025-02-28,Storage Alert,Medium,2.9,Capacity Issue,Resolved
INC-00023137,AST-0013274,2024-04-27,Network Outage,Low,0,Hardware Aging,Open
INC-00023138,AST-0002208,2023-08-08,Network Outage,High,7.34,Security Vulnerability,Problem Created
INC-00023139,AST-0018793,2023-09-08,Patch Failure,Medium,0,Capacity Issue,Closed
INC-00023140,AST-0012284,2025-07-18,Performance Degradation,Medium,0.41,Vendor Bug,Problem Created
INC-00023141,AST-0019226,2025-10-25,Network Outage,Low,0.67,Capacity Issue,Closed
INC-00023142,AST-0023069,2026-03-21,Security Alert,High,3.99,Capacity Issue,Resolved
INC-00023143,AST-0007972,2026-03-09,Storage Alert,Low,1.37,Capacity Issue,Problem Created
INC-00023144,AST-0007598,2024-06-26,Performance Degradation,Low,0,Unknown,Problem Created
INC-00023145,AST-0023191,2025-02-24,Storage Alert,High,1.85,Security Vulnerability,Problem Created
INC-00023146,AST-0010698,2023-09-09,Hardware Failure,Low,0,User Error,Closed
INC-00023147,AST-0013100,2023-10-05,Storage Alert,High,3.08,Configuration Drift,Open
INC-00023148,AST-0016073,2024-05-01,Network Outage,Critical,11.82,Hardware Aging,Resolved
INC-00023149,AST-0017653,2023-06-19,Patch Failure,High,3.52,Vendor Bug,Resolved
INC-00023150,AST-0021405,2024-09-23,Storage Alert,Low,2.05,Vendor Bug,Resolved
INC-00023151,AST-0023750,2024-02-08,OS Issue,Medium,0,Hardware Aging,Resolved
INC-00023152,AST-0013814,2024-08-09,Security Alert,Medium,0.91,User Error,Problem Created
INC-00023153,AST-0015378,2025-09-23,Security Alert,Critical,14.24,Vendor Bug,Open
INC-00023154,AST-0017294,2025-07-02,Hardware Failure,Medium,2.47,Unknown,Problem Created
INC-00023155,AST-0020494,2025-06-07,Network Outage,Medium,2.19,Configuration Drift,Resolved
INC-00023156,AST-0011624,2023-08-09,Performance Degradation,Low,0.32,Vendor Bug,Open
INC-00023157,AST-0005072,2024-05-19,Storage Alert,Low,0.01,Unsupported Software,Resolved
INC-00023158,AST-0007047,2024-10-25,Application Error,Low,0,Unknown,Closed
INC-00023159,AST-0020334,2025-12-04,Security Alert,Medium,2.31,Unsupported Software,Resolved
INC-00023160,AST-0011432,2023-09-02,Storage Alert,Medium,1.73,User Error,Problem Created
INC-00023161,AST-0001866,2025-08-13,OS Issue,Low,0,Unknown,Problem Created
INC-00023162,AST-0015099,2023-06-26,OS Issue,Medium,0.2,Hardware Aging,Resolved
INC-00023163,AST-0015720,2025-11-10,Storage Alert,Low,0.52,Capacity Issue,Problem Created
INC-00023164,AST-0002781,2025-08-26,Performance Degradation,Low,0.6,Capacity Issue,Closed
INC-00023165,AST-0003144,2025-07-02,Network Outage,Low,3.43,Vendor Bug,Open
INC-00023166,AST-0016469,2024-02-15,OS Issue,Medium,0.66,Security Vulnerability,Problem Created
INC-00023167,AST-0005603,2023-06-02,Hardware Failure,Medium,3.09,User Error,Resolved
INC-00023168,AST-0000140,2024-05-16,Performance Degradation,Low,2.35,Vendor Bug,Resolved
INC-00023169,AST-0015874,2024-11-07,Application Error,High,4.9,Vendor Bug,Open
INC-00023170,AST-0021224,2025-10-28,Hardware Failure,Critical,11.64,Vendor Bug,Resolved
INC-00023171,AST-0011602,2024-01-03,Security Alert,Low,1.11,Capacity Issue,Closed
INC-00023172,AST-0014826,2025-10-16,Performance Degradation,Medium,0.85,Unknown,Resolved
INC-00023173,AST-0013900,2023-09-19,Performance Degradation,Medium,4.78,Security Vulnerability,Resolved
INC-00023174,AST-0019516,2024-08-27,Network Outage,High,3.99,Capacity Issue,Resolved
INC-00023175,AST-0004472,2023-12-21,Hardware Failure,Medium,0,Capacity Issue,Closed
INC-00023176,AST-0016140,2023-10-27,OS Issue,High,2.61,Configuration Drift,Open
INC-00023177,AST-0007219,2025-09-28,Network Outage,High,3.39,User Error,Closed
INC-00023178,AST-0011634,2025-07-27,Application Error,Low,0.04,Unknown,Open
INC-00023179,AST-0000971,2025-05-26,Performance Degradation,High,3.16,Unknown,Resolved
INC-00023180,AST-0010201,2025-06-02,Application Error,Medium,2.15,Unsupported Software,Problem Created
INC-00023181,AST-0004820,2025-05-10,Network Outage,Medium,0.28,Capacity Issue,Resolved
INC-00023182,AST-0021783,2025-09-07,Storage Alert,High,4.74,Configuration Drift,Open
INC-00023183,AST-0000581,2024-09-13,Application Error,Medium,0.52,User Error,Closed
INC-00023184,AST-0011054,2026-03-01,Hardware Failure,High,3.68,Hardware Aging,Resolved
INC-00023185,AST-0012089,2025-03-02,Hardware Failure,High,6.83,Hardware Aging,Resolved
INC-00023186,AST-0023243,2023-12-06,Patch Failure,Medium,1.16,Unsupported Software,Resolved
INC-00023187,AST-0006122,2024-01-19,Storage Alert,Critical,12.83,Capacity Issue,Problem Created
INC-00023188,AST-0003051,2025-02-15,Performance Degradation,Low,0,Capacity Issue,Open
INC-00023189,AST-0013796,2023-12-03,Performance Degradation,Medium,0.98,Vendor Bug,Open
INC-00023190,AST-0020609,2023-09-07,Security Alert,Medium,0.02,Configuration Drift,Resolved
INC-00023191,AST-0014547,2025-01-21,Performance Degradation,Low,0,Unsupported Software,Resolved
INC-00023192,AST-0020684,2024-12-09,Performance Degradation,High,3.74,Configuration Drift,Closed
INC-00023193,AST-0006319,2025-08-15,Security Alert,Low,1.15,User Error,Problem Created
INC-00023194,AST-0011293,2025-01-23,Storage Alert,High,0.68,Capacity Issue,Resolved
INC-00023195,AST-0009694,2025-05-09,Security Alert,Medium,2.21,Hardware Aging,Resolved
INC-00023196,AST-0010145,2024-07-03,Patch Failure,High,4.4,Vendor Bug,Open
INC-00023197,AST-0022537,2026-05-23,Network Outage,Low,0,Security Vulnerability,Closed
INC-00023198,AST-0018074,2026-05-07,OS Issue,Medium,0,Unsupported Software,Open
INC-00023199,AST-0006280,2025-03-19,Application Error,High,2.99,Capacity Issue,Open
INC-00023200,AST-0016739,2025-11-21,Network Outage,Low,0.65,Hardware Aging,Resolved
INC-00023201,AST-0016014,2023-07-14,Patch Failure,Medium,1.82,Vendor Bug,Resolved
INC-00023202,AST-0020780,2025-10-24,Network Outage,Medium,0,Configuration Drift,Problem Created
INC-00023203,AST-0020324,2024-05-20,Security Alert,Medium,1.71,Unknown,Closed
INC-00023204,AST-0018560,2025-07-17,Network Outage,Low,2.25,Security Vulnerability,Problem Created
INC-00023205,AST-0003916,2025-04-01,Application Error,Medium,0,Vendor Bug,Open
INC-00023206,AST-0019680,2024-02-09,Hardware Failure,High,4.73,Hardware Aging,Resolved
INC-00023207,AST-0014662,2026-04-14,Storage Alert,Medium,0,User Error,Problem Created
INC-00023208,AST-0013818,2025-08-18,Patch Failure,Low,0,Vendor Bug,Resolved
INC-00023209,AST-0005593,2023-07-31,Hardware Failure,Low,0,Security Vulnerability,Problem Created
INC-00023210,AST-0009245,2025-09-10,Network Outage,Low,0.94,Security Vulnerability,Closed
INC-00023211,AST-0022697,2026-05-12,Patch Failure,Medium,0.74,Unsupported Software,Closed
INC-00023212,AST-0011572,2025-09-01,Storage Alert,Critical,9.76,Configuration Drift,Resolved
INC-00023213,AST-0001952,2023-06-10,Storage Alert,Low,1.06,Configuration Drift,Open
INC-00023214,AST-0015396,2025-03-01,Patch Failure,Critical,12.3,Capacity Issue,Open
INC-00023215,AST-0022621,2025-06-08,Patch Failure,Low,2.69,Hardware Aging,Resolved
INC-00023216,AST-0000894,2025-03-04,Performance Degradation,Low,2.44,Vendor Bug,Resolved
INC-00023217,AST-0019374,2026-05-11,Hardware Failure,Low,2.16,Vendor Bug,Resolved
INC-00023218,AST-0005804,2023-12-03,Hardware Failure,Medium,0.48,User Error,Open
INC-00023219,AST-0019061,2026-01-12,Network Outage,Low,0,Capacity Issue,Resolved
INC-00023220,AST-0017745,2026-01-25,Performance Degradation,Critical,9.81,Unsupported Software,Resolved
INC-00023221,AST-0000698,2025-08-07,Storage Alert,Low,0,Security Vulnerability,Open
INC-00023222,AST-0003909,2024-07-17,Hardware Failure,Critical,11.38,Unknown,Problem Created
INC-00023223,AST-0008138,2024-12-28,OS Issue,Critical,10.83,User Error,Resolved
INC-00023224,AST-0010748,2023-10-23,Patch Failure,Low,0,Vendor Bug,Closed
INC-00023225,AST-0013237,2024-02-27,Security Alert,Low,1.12,Capacity Issue,Resolved
INC-00023226,AST-0015285,2025-06-15,Hardware Failure,Critical,14.08,Hardware Aging,Open
INC-00023227,AST-0015321,2024-09-25,Network Outage,Medium,1.54,Unsupported Software,Resolved
INC-00023228,AST-0021603,2026-01-26,Patch Failure,Medium,0.1,Unknown,Closed
INC-00023229,AST-0020282,2025-11-21,Network Outage,High,4.92,Unknown,Resolved
INC-00023230,AST-0007952,2024-06-01,Performance Degradation,Medium,3.54,Unsupported Software,Closed
INC-00023231,AST-0023737,2025-05-29,OS Issue,Low,0,Configuration Drift,Resolved
INC-00023232,AST-0022369,2025-11-30,Patch Failure,Medium,1.49,User Error,Closed
INC-00023233,AST-0005302,2024-01-20,Security Alert,Medium,1.74,Configuration Drift,Open
INC-00023234,AST-0014137,2024-09-25,OS Issue,Low,2.39,Vendor Bug,Resolved
INC-00023235,AST-0004199,2024-02-18,Security Alert,Low,0,Configuration Drift,Resolved
INC-00023236,AST-0012105,2023-06-13,Storage Alert,Medium,0,Configuration Drift,Resolved
INC-00023237,AST-0020785,2024-07-21,Security Alert,Medium,2.59,User Error,Open
INC-00023238,AST-0013372,2024-03-02,Patch Failure,Low,0.15,Configuration Drift,Resolved
INC-00023239,AST-0013199,2023-06-21,Network Outage,Low,0,Hardware Aging,Resolved
INC-00023240,AST-0020352,2024-05-17,Security Alert,Critical,12.17,Vendor Bug,Resolved
INC-00023241,AST-0006405,2023-11-11,Patch Failure,Critical,11.04,Hardware Aging,Resolved
INC-00023242,AST-0018887,2023-09-23,OS Issue,Low,0,Vendor Bug,Resolved
INC-00023243,AST-0015178,2026-04-14,Performance Degradation,Medium,0.86,Hardware Aging,Problem Created
INC-00023244,AST-0011002,2024-09-23,Hardware Failure,Medium,2.14,Hardware Aging,Open
INC-00023245,AST-0022597,2024-11-08,Application Error,High,4.99,Unsupported Software,Closed
INC-00023246,AST-0018179,2025-05-18,Patch Failure,High,4.66,Capacity Issue,Closed
INC-00023247,AST-0007279,2023-09-12,Security Alert,Medium,2.03,Capacity Issue,Open
INC-00023248,AST-0016148,2025-03-19,Hardware Failure,Low,0,Hardware Aging,Open
INC-00023249,AST-0003336,2024-03-13,Network Outage,Medium,0,Unsupported Software,Problem Created
INC-00023250,AST-0022674,2024-10-12,Network Outage,Low,0,Configuration Drift,Resolved
INC-00023251,AST-0018993,2023-07-28,Storage Alert,High,5.81,Unknown,Closed
INC-00023252,AST-0019914,2023-08-08,Hardware Failure,High,2.37,Security Vulnerability,Resolved
INC-00023253,AST-0003372,2025-08-08,Network Outage,High,6.34,Capacity Issue,Problem Created
INC-00023254,AST-0010951,2024-04-19,Hardware Failure,Low,0.92,Capacity Issue,Closed
INC-00023255,AST-0011733,2026-02-27,Patch Failure,High,2.69,Security Vulnerability,Resolved
INC-00023256,AST-0010207,2024-06-13,Performance Degradation,Low,0.59,Unknown,Resolved
INC-00023257,AST-0000115,2025-09-26,Network Outage,Low,0.09,Unknown,Resolved
INC-00023258,AST-0002905,2024-09-25,Network Outage,High,4.37,Unsupported Software,Problem Created
INC-00023259,AST-0003046,2026-05-06,Hardware Failure,Low,2.43,Configuration Drift,Problem Created
INC-00023260,AST-0020931,2025-06-26,Application Error,Medium,2.0,Unknown,Closed
INC-00023261,AST-0018372,2025-11-11,Hardware Failure,Low,3.17,Unsupported Software,Problem Created
INC-00023262,AST-0010636,2025-08-20,Application Error,Medium,2.24,Unsupported Software,Problem Created
INC-00023263,AST-0018664,2025-09-07,Security Alert,Medium,0,Configuration Drift,Open
INC-00023264,AST-0000727,2025-08-07,Security Alert,Low,1.61,Configuration Drift,Problem Created
INC-00023265,AST-0011556,2023-06-17,Security Alert,Low,0,User Error,Resolved
INC-00023266,AST-0012456,2026-02-14,Network Outage,Low,0,Security Vulnerability,Closed
INC-00023267,AST-0007375,2025-05-06,Application Error,Medium,1.11,Security Vulnerability,Open
INC-00023268,AST-0017082,2025-04-27,OS Issue,High,4.04,Configuration Drift,Closed
INC-00023269,AST-0020385,2025-11-20,Storage Alert,High,4.29,User Error,Resolved
INC-00023270,AST-0010790,2024-08-08,Storage Alert,High,2.52,Configuration Drift,Problem Created
INC-00023271,AST-0017242,2024-04-27,Hardware Failure,High,4.63,Unsupported Software,Closed
INC-00023272,AST-0011139,2026-04-03,Hardware Failure,Medium,0,Vendor Bug,Open
INC-00023273,AST-0005842,2025-01-20,Performance Degradation,Critical,12.73,Configuration Drift,Resolved
INC-00023274,AST-0012008,2024-05-28,Storage Alert,Low,0.27,Unknown,Resolved
INC-00023275,AST-0012523,2026-05-02,Hardware Failure,Low,0,Unsupported Software,Open
INC-00023276,AST-0016460,2024-10-07,Performance Degradation,High,4.25,Configuration Drift,Closed
INC-00023277,AST-0023109,2025-07-26,Security Alert,Low,0.09,Unknown,Resolved
INC-00023278,AST-0022296,2026-01-21,Patch Failure,Medium,1.82,Configuration Drift,Resolved
INC-00023279,AST-0011584,2024-03-25,Security Alert,Low,0,User Error,Problem Created
INC-00023280,AST-0003142,2025-10-02,Performance Degradation,Critical,10.8,User Error,Resolved
INC-00023281,AST-0019865,2023-06-22,Patch Failure,High,2.12,Security Vulnerability,Resolved
INC-00023282,AST-0002718,2024-08-08,Performance Degradation,Medium,2.63,Hardware Aging,Resolved
INC-00023283,AST-0000040,2024-01-22,OS Issue,Critical,11.04,Unknown,Resolved
INC-00023284,AST-0010827,2024-12-10,Security Alert,Low,0.22,Unsupported Software,Resolved
INC-00023285,AST-0008857,2025-09-21,Security Alert,Low,1.8,Unknown,Problem Created
INC-00023286,AST-0015753,2025-03-06,Application Error,Medium,0.97,Vendor Bug,Resolved
INC-00023287,AST-0020944,2024-08-17,OS Issue,High,4.98,User Error,Problem Created
INC-00023288,AST-0010174,2026-04-22,Network Outage,Low,0,User Error,Closed
INC-00023289,AST-0012269,2025-08-11,Application Error,Medium,1.93,Unknown,Resolved
INC-00023290,AST-0012317,2026-05-21,Hardware Failure,Low,0,Unsupported Software,Resolved
INC-00023291,AST-0007426,2023-07-03,Storage Alert,Low,0,Unsupported Software,Problem Created
INC-00023292,AST-0008571,2025-10-25,Storage Alert,High,4.18,Unsupported Software,Resolved
INC-00023293,AST-0007071,2025-11-26,Storage Alert,Low,1.07,User Error,Open
INC-00023294,AST-0000997,2026-04-09,Performance Degradation,Critical,12.02,Capacity Issue,Resolved
INC-00023295,AST-0023255,2024-03-19,Hardware Failure,Low,0.8,Security Vulnerability,Resolved
INC-00023296,AST-0010010,2025-04-30,OS Issue,Medium,2.3,Unsupported Software,Resolved
INC-00023297,AST-0013802,2026-01-04,Storage Alert,Medium,1.42,Capacity Issue,Open
INC-00023298,AST-0016063,2024-03-03,Network Outage,Low,1.82,Capacity Issue,Resolved
INC-00023299,AST-0003821,2023-12-20,Performance Degradation,Low,0.29,Capacity Issue,Closed
INC-00023300,AST-0007205,2026-01-21,Patch Failure,Critical,14.42,Vendor Bug,Resolved
INC-00023301,AST-0006297,2024-06-17,OS Issue,Medium,1.8,Vendor Bug,Problem Created
INC-00023302,AST-0001811,2024-06-20,Application Error,Critical,13.15,Unknown,Closed
INC-00023303,AST-0012636,2024-12-02,Security Alert,Critical,13.68,User Error,Resolved
INC-00023304,AST-0020759,2023-10-06,Network Outage,Low,0,Configuration Drift,Problem Created
INC-00023305,AST-0017281,2025-04-22,Application Error,Low,1.37,Security Vulnerability,Resolved
INC-00023306,AST-0013269,2026-05-30,Network Outage,Critical,11.27,Vendor Bug,Closed
INC-00023307,AST-0010253,2025-01-08,Security Alert,Low,0.45,Capacity Issue,Resolved
INC-00023308,AST-0014031,2023-08-06,Network Outage,Medium,4.67,Unsupported Software,Resolved
INC-00023309,AST-0023727,2024-01-29,Patch Failure,High,2.77,Capacity Issue,Resolved
INC-00023310,AST-0012982,2024-06-05,Performance Degradation,Critical,13.24,Configuration Drift,Problem Created
INC-00023311,AST-0012138,2023-11-11,Security Alert,Medium,0,Unknown,Resolved
INC-00023312,AST-0019174,2025-04-19,Storage Alert,Critical,12.69,Capacity Issue,Resolved
INC-00023313,AST-0020746,2025-12-20,Storage Alert,Medium,1.19,User Error,Resolved
INC-00023314,AST-0010261,2025-08-23,OS Issue,Low,0.79,Hardware Aging,Resolved
INC-00023315,AST-0021078,2025-02-17,Application Error,Low,0.85,Unknown,Problem Created
INC-00023316,AST-0000146,2025-11-11,Patch Failure,Medium,0.59,Unsupported Software,Open
INC-00023317,AST-0002973,2024-09-21,Hardware Failure,High,4.2,Unsupported Software,Open
INC-00023318,AST-0022100,2025-06-17,Patch Failure,Low,0,Configuration Drift,Resolved
INC-00023319,AST-0002753,2024-11-16,Storage Alert,Low,0,Capacity Issue,Problem Created
INC-00023320,AST-0000114,2026-01-16,Application Error,High,4.12,Unknown,Closed
INC-00023321,AST-0004058,2025-01-16,Security Alert,Critical,12.21,Vendor Bug,Resolved
INC-00023322,AST-0011275,2025-05-08,Storage Alert,Low,2.23,Unknown,Closed
INC-00023323,AST-0023396,2025-07-28,Network Outage,Medium,0,User Error,Resolved
INC-00023324,AST-0012740,2025-03-02,OS Issue,Medium,2.62,Capacity Issue,Resolved
INC-00023325,AST-0007604,2024-11-17,Storage Alert,High,6.84,Unknown,Problem Created
INC-00023326,AST-0008602,2026-03-26,Performance Degradation,Medium,1.7,User Error,Open
INC-00023327,AST-0022552,2024-03-04,Storage Alert,Medium,2.14,User Error,Problem Created
INC-00023328,AST-0005121,2023-12-05,Patch Failure,Critical,11.7,User Error,Resolved
INC-00023329,AST-0020114,2024-12-11,OS Issue,High,4.45,Configuration Drift,Closed
INC-00023330,AST-0004189,2023-09-29,OS Issue,High,4.79,Vendor Bug,Problem Created
INC-00023331,AST-0005503,2025-05-22,Hardware Failure,Low,0.05,Capacity Issue,Closed
INC-00023332,AST-0004091,2025-06-25,Network Outage,High,5.45,Unsupported Software,Closed
INC-00023333,AST-0016753,2025-03-18,Patch Failure,Low,0,User Error,Problem Created
INC-00023334,AST-0010007,2024-04-29,Patch Failure,High,4.28,Unsupported Software,Resolved
INC-00023335,AST-0022045,2026-03-12,OS Issue,Medium,1.83,Unknown,Open
INC-00023336,AST-0013323,2023-08-27,Storage Alert,Low,0,Hardware Aging,Open
INC-00023337,AST-0017728,2025-02-21,Network Outage,Medium,0.01,Configuration Drift,Closed
INC-00023338,AST-0004167,2025-12-30,Performance Degradation,Low,3.53,Capacity Issue,Closed
INC-00023339,AST-0005662,2025-10-30,Application Error,Low,0,Hardware Aging,Problem Created
INC-00023340,AST-0011972,2026-03-31,Hardware Failure,Low,0,Hardware Aging,Closed
INC-00023341,AST-0010667,2024-08-03,Network Outage,Medium,1.37,Unsupported Software,Problem Created
INC-00023342,AST-0008627,2025-02-09,Performance Degradation,Medium,0.42,Capacity Issue,Closed
INC-00023343,AST-0020520,2024-10-29,Network Outage,Low,3.72,Security Vulnerability,Closed
INC-00023344,AST-0018349,2024-03-15,Security Alert,High,4.3,Security Vulnerability,Problem Created
INC-00023345,AST-0021183,2024-06-11,Network Outage,Low,0.58,Security Vulnerability,Resolved
INC-00023346,AST-0002555,2023-08-26,Storage Alert,Medium,5.22,User Error,Resolved
INC-00023347,AST-0005229,2025-03-29,Security Alert,Medium,1.09,Vendor Bug,Resolved
INC-00023348,AST-0003471,2025-03-23,Storage Alert,Low,2.18,Capacity Issue,Open
INC-00023349,AST-0001489,2026-02-15,Application Error,Medium,0,Capacity Issue,Resolved
INC-00023350,AST-0006137,2026-02-03,Patch Failure,Medium,2.32,Security Vulnerability,Closed
INC-00023351,AST-0001626,2024-11-09,Application Error,High,3.31,Configuration Drift,Open
INC-00023352,AST-0004166,2023-10-28,Performance Degradation,Low,0,User Error,Resolved
INC-00023353,AST-0016758,2024-04-21,OS Issue,Medium,0,Capacity Issue,Closed
INC-00023354,AST-0010481,2026-01-02,Network Outage,High,3.67,Capacity Issue,Open
INC-00023355,AST-0004313,2026-05-16,Hardware Failure,Medium,0.79,User Error,Closed
INC-00023356,AST-0002111,2024-10-03,Application Error,Low,1.86,Configuration Drift,Resolved
INC-00023357,AST-0014378,2023-07-02,OS Issue,Low,0,User Error,Resolved
INC-00023358,AST-0001738,2024-03-02,Patch Failure,Medium,2.28,Hardware Aging,Problem Created
INC-00023359,AST-0008471,2026-02-24,Performance Degradation,Medium,2.4,Vendor Bug,Resolved
INC-00023360,AST-0015148,2025-07-11,Hardware Failure,Medium,2.69,Vendor Bug,Resolved
INC-00023361,AST-0014159,2025-05-26,Network Outage,High,5.92,User Error,Open
INC-00023362,AST-0009500,2023-08-19,Network Outage,Critical,13.47,Vendor Bug,Resolved
INC-00023363,AST-0016288,2024-08-08,Performance Degradation,Medium,0,Configuration Drift,Resolved
INC-00023364,AST-0000926,2023-10-03,Network Outage,High,2.06,Capacity Issue,Open
INC-00023365,AST-0012911,2024-02-22,Security Alert,Critical,15.11,Capacity Issue,Open
INC-00023366,AST-0016368,2024-03-11,OS Issue,High,5.96,Hardware Aging,Resolved
INC-00023367,AST-0012607,2025-04-22,Patch Failure,Low,0,User Error,Open
INC-00023368,AST-0007422,2026-03-08,Patch Failure,Medium,0.06,Unsupported Software,Open
INC-00023369,AST-0005087,2023-12-23,Network Outage,Critical,9.67,Hardware Aging,Problem Created
INC-00023370,AST-0009341,2024-01-09,Network Outage,High,5.04,Vendor Bug,Closed
INC-00023371,AST-0006566,2023-07-10,Patch Failure,Medium,0.86,Capacity Issue,Problem Created
INC-00023372,AST-0015363,2024-04-22,Patch Failure,Low,1.2,Unsupported Software,Closed
INC-00023373,AST-0006375,2026-02-19,Performance Degradation,Low,0,User Error,Closed
INC-00023374,AST-0001603,2023-10-13,Application Error,High,2.2,Configuration Drift,Resolved
INC-00023375,AST-0019101,2024-08-01,Hardware Failure,Low,2.02,Capacity Issue,Resolved
INC-00023376,AST-0001820,2024-03-18,Patch Failure,Low,1.27,User Error,Open
INC-00023377,AST-0013668,2025-12-16,Storage Alert,Low,0,Unsupported Software,Resolved
INC-00023378,AST-0011235,2025-09-06,Patch Failure,Low,0.3,Hardware Aging,Problem Created
INC-00023379,AST-0015020,2024-02-17,Security Alert,Medium,2.24,Capacity Issue,Resolved
INC-00023380,AST-0001984,2026-05-10,Storage Alert,Medium,0.01,Hardware Aging,Resolved
INC-00023381,AST-0002316,2024-11-20,OS Issue,Low,0,Unsupported Software,Problem Created
INC-00023382,AST-0016272,2024-09-19,Security Alert,Medium,0,Vendor Bug,Problem Created
INC-00023383,AST-0000033,2023-08-19,Hardware Failure,Low,0.11,Security Vulnerability,Closed
INC-00023384,AST-0002038,2024-02-24,OS Issue,Critical,13.48,User Error,Resolved
INC-00023385,AST-0019161,2024-01-09,Security Alert,Medium,0,Configuration Drift,Closed
INC-00023386,AST-0019805,2023-06-06,Patch Failure,Low,0.61,Unknown,Open
INC-00023387,AST-0008410,2025-01-11,Storage Alert,Critical,12.36,Unknown,Resolved
INC-00023388,AST-0001742,2024-07-14,Application Error,Medium,0.82,Vendor Bug,Open
INC-00023389,AST-0012568,2025-07-30,Hardware Failure,Medium,0.81,Capacity Issue,Resolved
INC-00023390,AST-0014492,2025-12-21,Security Alert,Critical,13.45,Unknown,Closed
INC-00023391,AST-0001076,2025-01-26,Application Error,Medium,3.16,User Error,Open
INC-00023392,AST-0007267,2024-01-13,Performance Degradation,Critical,10.15,Security Vulnerability,Open
INC-00023393,AST-0019760,2024-05-29,Application Error,Critical,10.81,Vendor Bug,Problem Created
INC-00023394,AST-0018695,2024-01-21,Hardware Failure,High,5.31,Vendor Bug,Open
INC-00023395,AST-0011275,2024-07-08,Hardware Failure,Low,0,Unsupported Software,Resolved
INC-00023396,AST-0011207,2026-04-08,Network Outage,High,5.8,Unknown,Problem Created
INC-00023397,AST-0012951,2025-12-14,Performance Degradation,Low,0,Unknown,Problem Created
INC-00023398,AST-0014458,2023-07-28,OS Issue,Critical,10.6,User Error,Closed
INC-00023399,AST-0009947,2024-09-26,OS Issue,Low,0,Vendor Bug,Resolved
INC-00023400,AST-0015307,2023-11-21,Security Alert,Low,0,User Error,Closed
INC-00023401,AST-0008985,2025-11-01,OS Issue,Low,2.73,Security Vulnerability,Closed
INC-00023402,AST-0019102,2023-07-14,OS Issue,Medium,1.95,Unsupported Software,Closed
INC-00023403,AST-0016934,2023-07-03,Performance Degradation,Low,0.64,Unsupported Software,Closed
