Business_Unit,Asset_Type,Criticality,assets,critical_vulns,high_vulns,avg_cvss,max_cvss,replacement_cost
Treasury,Distribution Switch,Low,1,2.0,4.0,9.833333333333334,10.0,8500
Wealth Management,Firewall,Critical,1,2.0,1.0,8.8,9.8,9000
Capital Markets,Storage,High,1,1.0,0.0,9.8,9.8,95000
Cybersecurity,Distribution Switch,Low,1,1.0,2.0,9.2,10.0,8500
Data & Analytics,Access Switch,Low,1,1.0,2.0,8.133333333333333,8.8,4200
Data & Analytics,Distribution Switch,High,1,1.0,3.0,8.8,9.8,8500
Data & Analytics,Distribution Switch,Medium,1,1.0,1.0,9.8,9.8,8500
Finance,Distribution Switch,High,1,1.0,2.0,9.733333333333334,9.8,8500
Finance,Distribution Switch,Medium,1,1.0,0.0,10.0,10.0,8500
Human Resources,Router,High,1,1.0,0.0,9.8,9.8,6800
Human Resources,Router,Low,1,1.0,1.0,8.8,9.8,6800
Human Resources,Storage,Critical,1,1.0,2.0,9.8,9.8,90000
Legal & Compliance,Distribution Switch,Medium,1,1.0,0.0,10.0,10.0,8500
Operations,Firewall,Medium,1,1.0,1.0,8.8,9.8,21000
Risk,Access Switch,Medium,1,1.0,1.0,9.8,9.8,7200
Risk,Router,Critical,1,1.0,1.0,9.9,10.0,11500
Risk,Router,High,1,1.0,1.0,9.8,9.8,6800
Risk,Wireless Access Point,Critical,1,1.0,2.0,9.8,9.8,1250
Treasury,Router,Low,1,1.0,1.0,9.3,9.8,11500
Treasury,Storage,High,1,1.0,1.0,9.8,9.8,85000
Treasury,Storage,Medium,1,1.0,0.0,9.7,9.7,85000
Wealth Management,Access Switch,Medium,1,1.0,0.0,9.5,9.5,7200
Wealth Management,Storage,High,1,1.0,0.0,10.0,10.0,90000
Wealth Management,Storage,Medium,1,1.0,0.0,9.7,9.7,90000
